10 3 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
10 4 {'index': 7, 'H_elements': 114, 'clauses': 1662, 'sat': False, 'secs': 0.02}
10 5 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.09}
10 6 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.07}
10 7 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
10 8 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.01}
10 9 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.09}
10 10 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
10 11 {'index': 3, 'H_elements': 266, 'clauses': 7630, 'sat': False, 'secs': 0.04}
10 12 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.03}
10 13 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.02}
10 14 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.04}
10 15 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
10 16 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.01}
10 17 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.01}
10 18 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.01}
10 19 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.03}
10 20 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
10 21 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
10 22 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
