p=269: b-classes=3 c-choices=538 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=271: b-classes=7 c-choices=546 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=277: b-classes=3 c-choices=554 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=281: b-classes=7 c-choices=562 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=283: b-classes=3 c-choices=570 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=293: b-classes=3 c-choices=586 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=307: b-classes=3 c-choices=618 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=311: b-classes=7 c-choices=626 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=313: b-classes=7 c-choices=626 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=317: b-classes=3 c-choices=634 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=331: b-classes=3 c-choices=666 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=337: b-classes=7 c-choices=674 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=347: b-classes=3 c-choices=698 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=349: b-classes=3 c-choices=698 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=353: b-classes=7 c-choices=706 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=359: b-classes=7 c-choices=722 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=367: b-classes=7 c-choices=738 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=373: b-classes=3 c-choices=746 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=379: b-classes=3 c-choices=762 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=383: b-classes=7 c-choices=770 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=389: b-classes=3 c-choices=778 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=397: b-classes=3 c-choices=794 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
