TOP AAtATatAtAtAATaTaTatAtAtaTaTaaT n=3 W0=A0.A0.A1.a0.A1.A2.A3.A3.a2.a1.a0.A1.A2.a3.a2.a1.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtAATaTaaTatAtAtaTaTaT n=3 W0=A0.A0.A1.a0.A1.A2.A3.A3.a2.a1.a1.a0.A1.A2.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtAATataTAtaTaTaaT n=3 W0=A0.A0.A1.a0.A1.A2.A3.A3.a2.a3.A2.a3.a2.a1.a1 s=a3 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATatAtAtATaTaTattAtaaTaTaT n=3 W0=A0.A0.A1.a0.A1.A2.A3.a2.a1.a0.A2.a3.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtATaTaTatAtAtaaTaTaaT n=3 W0=A0.A0.A1.a0.A1.A2.A3.a2.a1.a0.A1.A2.a3.a3.a2.a1.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtATaTaaTatAtAtaaTaTaT n=3 W0=A0.A0.A1.a0.A1.A2.A3.a2.a1.a1.a0.A1.A2.a3.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtATatATAtaaTaTaaT n=3 W0=A0.A0.A1.a0.A1.A2.A3.a2.A3.A2.a3.a3.a2.a1.a1 s=a3 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATatAtAtaTaTaTattAtAATaTaT n=3 W0=A0.A0.A1.a0.A1.A2.a3.a2.a1.a0.A2.A3.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtaTaTaTatAtAtAATaTaaT n=3 W0=A0.A0.A1.a0.A1.A2.a3.a2.a1.a0.A1.A2.A3.A3.a2.a1.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtaTaTaaTatAtAtAATaTaT n=3 W0=A0.A0.A1.a0.A1.A2.a3.a2.a1.a1.a0.A1.A2.A3.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtaTAtaTatAATaTaaT n=3 W0=A0.A0.A1.a0.A1.A2.a3.A2.a3.a2.A3.A3.a2.a1.a1 s=a3 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATatAtAtaaTaTaTattAtATaTaT n=3 W0=A0.A0.A1.a0.A1.A2.a3.a3.a2.a1.a0.A2.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtaaTaTaTatAtAtATaTaaT n=3 W0=A0.A0.A1.a0.A1.A2.a3.a3.a2.a1.a0.A1.A2.A3.a2.a1.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtaaTaTaaTatAtAtATaTaT n=3 W0=A0.A0.A1.a0.A1.A2.a3.a3.a2.a1.a1.a0.A1.A2.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtATatAtAtaaTAtATatATaTaaT n=3 W0=A0.A0.A1.a0.A1.A2.a3.a3.A2.A3.a2.A3.a2.a1.a1 s=a3 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtAAtAtAATaTaTataTatAtAtaTaTaT n=3 W0=A0.A0.A1.A1.A2.A3.A3.a2.a1.a0.a1.a0.A1.A2.a3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAAtAtAATaTaTatAtAtaTaTaTataT n=3 W0=A0.A0.A1.A1.A2.A3.A3.a2.a1.a0.A1.A2.a3.a2.a1.a0.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAAtAtAATataTAtaTaTaTataT n=3 W0=A0.A0.A1.A1.A2.A3.A3.a2.a3.A2.a3.a2.a1.a0.a1 s=a3 h0=0 -> (5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)')
TOP AAtAAtAtATaTaTataTatAtAtaaTaTaT n=3 W0=A0.A0.A1.A1.A2.A3.a2.a1.a0.a1.a0.A1.A2.a3.a3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAAtAtATaTaTatAtAtaaTaTaTataT n=3 W0=A0.A0.A1.A1.A2.A3.a2.a1.a0.A1.A2.a3.a3.a2.a1.a0.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAAtAtATatATAtaaTaTaTataT n=3 W0=A0.A0.A1.A1.A2.A3.a2.A3.A2.a3.a3.a2.a1.a0.a1 s=a3 h0=0 -> (5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)')
TOP AAtAAtAtaTaTaTataTatAtAtAATaTaT n=3 W0=A0.A0.A1.A1.A2.a3.a2.a1.a0.a1.a0.A1.A2.A3.A3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAAtAtaTaTaTatAtAtAATaTaTataT n=3 W0=A0.A0.A1.A1.A2.a3.a2.a1.a0.A1.A2.A3.A3.a2.a1.a0.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAAtAtaTAtaTatAATaTaTataT n=3 W0=A0.A0.A1.A1.A2.a3.A2.a3.a2.A3.A3.a2.a1.a0.a1 s=a3 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtAAtAtaaTaTaTataTatAtAtATaTaT n=3 W0=A0.A0.A1.A1.A2.a3.a3.a2.a1.a0.a1.a0.A1.A2.A3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAAtAtaaTaTaTatAtAtATaTaTataT n=3 W0=A0.A0.A1.A1.A2.a3.a3.a2.a1.a0.A1.A2.A3.a2.a1.a0.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAAtAtaaTAtATatATaTaTataT n=3 W0=A0.A0.A1.A1.A2.a3.a3.A2.A3.a2.A3.a2.a1.a0.a1 s=a3 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtaTatATatAtAAtaTatAATaTaT n=3 W0=A0.A0.a1.a0.A1.a0.A1.A2.A2.a3.a2.A3.A3.a2.a1 s=a0 h0=0 -> (5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)')
TOP AAtaTatATatAttATAtaaTaTaT n=3 W0=A0.A0.a1.a0.A1.a0.A1.A3.A2.a3.a3.a2.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtaTatATatAtAtAATataTTaT n=3 W0=A0.A0.a1.a0.A1.a0.A1.A2.A3.A3.a2.a3.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtaTatATatAtAtaaTAtATaaTaT n=3 W0=A0.A0.a1.a0.A1.a0.A1.A2.a3.a3.A2.A3.a2.a2.a1 s=a0 h0=0 -> (5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)')
TOP AAtaTatAAtAtAATaTaTatAtAtaTaTaT n=3 W0=A0.A0.a1.a0.A1.A1.A2.A3.A3.a2.a1.a0.A1.A2.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAAtAtATaTaTatAtAtaaTaTaT n=3 W0=A0.A0.a1.a0.A1.A1.A2.A3.a2.a1.a0.A1.A2.a3.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAAtAtaTaTaTatAtAtAATaTaT n=3 W0=A0.A0.a1.a0.A1.A1.A2.a3.a2.a1.a0.A1.A2.A3.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
