40_40 293 R=6 short=4 certificate OK: 10 lemmas, 117 steps; Gamma^+ is not left-orderable
40_40 294 R=6 short=4 certificate OK: 10 lemmas, 117 steps; Gamma^+ is not left-orderable
40_40 301 R=6 short=4 certificate OK: 13 lemmas, 196 steps; Gamma^+ is not left-orderable
40_40 305 R=6 short=4 certificate OK: 35 lemmas, 373 steps; Gamma^+ is not left-orderable
40_40 307 R=6 short=4 certificate OK: 14 lemmas, 193 steps; Gamma^+ is not left-orderable
40_40 309 R=6 short=4 certificate OK: 35 lemmas, 507 steps; Gamma^+ is not left-orderable
40_40 315 R=6 short=4 certificate OK: 12 lemmas, 68 steps; Gamma^+ is not left-orderable
40_40 316 R=6 short=4 certificate OK: 8 lemmas, 75 steps; Gamma^+ is not left-orderable
40_40 317 R=6 short=4 certificate OK: 19 lemmas, 362 steps; Gamma^+ is not left-orderable
40_40 319 R=6 short=4 certificate OK: 17 lemmas, 329 steps; Gamma^+ is not left-orderable
40_40 323 R=6 short=4 certificate OK: 40 lemmas, 674 steps; Gamma^+ is not left-orderable
40_40 326 R=6 short=4 certificate OK: 23 lemmas, 358 steps; Gamma^+ is not left-orderable
40_40 329 R=6 short=4 certificate OK: 5 lemmas, 38 steps; Gamma^+ is not left-orderable
40_40 330 R=6 short=4 certificate OK: 6 lemmas, 68 steps; Gamma^+ is not left-orderable
40_40 333 R=6 short=4 certificate OK: 48 lemmas, 690 steps; Gamma^+ is not left-orderable
40_40 340 R=6 short=4 certificate OK: 25 lemmas, 308 steps; Gamma^+ is not left-orderable
40_40 342 R=6 short=4 certificate OK: 23 lemmas, 428 steps; Gamma^+ is not left-orderable
40_40 345 R=6 short=4 certificate OK: 33 lemmas, 564 steps; Gamma^+ is not left-orderable
40_40 352 R=6 short=4 certificate OK: 16 lemmas, 246 steps; Gamma^+ is not left-orderable
40_40 354 R=6 short=4 certificate OK: 16 lemmas, 281 steps; Gamma^+ is not left-orderable
40_40 357 R=6 short=4 certificate OK: 21 lemmas, 274 steps; Gamma^+ is not left-orderable
40_40 387 R=6 short=4 certificate OK: 20 lemmas, 157 steps; Gamma^+ is not left-orderable
40_40 389 R=6 short=4 certificate OK: 41 lemmas, 590 steps; Gamma^+ is not left-orderable
40_40 392 R=6 short=4 certificate OK: 12 lemmas, 223 steps; Gamma^+ is not left-orderable
