pi_s=a E pi_t=e s|0=A s a t|0=A t s|3=t | z = 1 | {'NB': 54, 'L': 44, 'L_is_T': True, 'ordT': 44} 
pi_s=a E pi_t=e s|0=A s a t|0=E t s|3=t | z = 1 | {'NB': 21, 'L': 11, 'L_is_T': True, 'ordT': 11} 
pi_s=a E pi_t=e s|0=A s e t|0=A t s|3=t | z = 1 | {'NB': 54, 'L': 44, 'L_is_T': True, 'ordT': 44} 
pi_s=a E pi_t=e s|0=A s e t|0=E t s|3=t | z = 1 | {'NB': 21, 'L': 11, 'L_is_T': True, 'ordT': 11} 
pi_s=a E pi_t=e s|0=E s a t|0=A t s|3=t | z = 1 | {'NB': 54, 'L': 44, 'L_is_T': True, 'ordT': 44} 
pi_s=a E pi_t=e s|0=E s a t|0=E t s|3=t | z = 1 | {'NB': 21, 'L': 11, 'L_is_T': True, 'ordT': 11} 
pi_s=a E pi_t=e s|0=E s e t|0=A t s|3=t | z = 1 | {'NB': 54, 'L': 44, 'L_is_T': True, 'ordT': 44} 
pi_s=a E pi_t=e s|0=E s e t|0=E t s|3=t | z = 1 | {'NB': 21, 'L': 11, 'L_is_T': True, 'ordT': 11} 
pi_s=a E pi_t=a e s|0=A s a t|0=A t A s|3=t | z = 1 | {'NB': 54, 'L': 44, 'L_is_T': True, 'ordT': 44} 
pi_s=a E pi_t=a e s|0=A s a t|0=A t E s|3=t | z = 1 | {'NB': 21, 'L': 11, 'L_is_T': True, 'ordT': 11} 
pi_s=a E pi_t=a e s|0=A s a t|0=E t A s|3=t | z = 1 | {'NB': 54, 'L': 44, 'L_is_T': True, 'ordT': 44} 
