115 pi_s=a e pi_t=a E s|0=E s E t|0=E t e s|3=t | undecided
119 pi_s=a e pi_t=e a s|0=A s A t|0=E t E s|3=t | undecided
120 pi_s=a e pi_t=e a s|0=A s E t|0=A t A s|3=t | undecided
123 pi_s=a e pi_t=e a s|0=A s E t|0=E t E s|3=t | undecided
128 pi_s=a e pi_t=e a s|0=E s E t|0=A t A s|3=t | undecided
133 pi_s=a e pi_t=a a s|0=A s A t|0=A t E s|3=t | undecided
134 pi_s=a e pi_t=a a s|0=A s A t|0=E t A s|3=t | infinite ord(SSTSt)=inf ('A E t A E t E t', 5, 'A E t A E t E t')
135 pi_s=a e pi_t=a a s|0=A s A t|0=E t E s|3=t | infinite ord(STTSt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
137 pi_s=a e pi_t=a a s|0=A s E t|0=A t E s|3=t | undecided
138 pi_s=a e pi_t=a a s|0=A s E t|0=E t A s|3=t | undecided
143 pi_s=a e pi_t=a a s|0=E s A t|0=E t E s|3=t | infinite ord(STStt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
146 pi_s=a e pi_t=a a s|0=E s E t|0=E t A s|3=t | undecided
147 pi_s=a e pi_t=a a s|0=E s E t|0=E t E s|3=t | infinite ord(SSStt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
149 pi_s=a e pi_t=e e s|0=A s A t|0=A t E s|3=t | infinite ord(SSTsT)=inf ('A t E a t E', 8, 'A t E t E')
150 pi_s=a e pi_t=e e s|0=A s A t|0=E t A s|3=t | undecided
151 pi_s=a e pi_t=e e s|0=A s A t|0=E t E s|3=t | undecided
152 pi_s=a e pi_t=e e s|0=A s E t|0=A t A s|3=t | undecided
153 pi_s=a e pi_t=e e s|0=A s E t|0=A t E s|3=t | undecided
154 pi_s=a e pi_t=e e s|0=A s E t|0=E t A s|3=t | undecided
155 pi_s=a e pi_t=e e s|0=A s E t|0=E t E s|3=t | undecided
159 pi_s=a e pi_t=e e s|0=E s A t|0=E t E s|3=t | undecided
161 pi_s=a e pi_t=e e s|0=E s E t|0=A t E s|3=t | undecided
162 pi_s=a e pi_t=e e s|0=E s E t|0=E t A s|3=t | infinite ord(SSTST)=inf ('A E t E t', 8, 'A E t E t')
163 pi_s=a e pi_t=e e s|0=E s E t|0=E t E s|3=t | undecided
167 pi_s=a E pi_t=a s|0=A s a t|0=E t s|3=t | undecided
169 pi_s=a E pi_t=a s|0=A s e t|0=E t s|3=t | undecided
171 pi_s=a E pi_t=a s|0=E s a t|0=E t s|3=t | undecided
173 pi_s=a E pi_t=a s|0=E s e t|0=E t s|3=t | undecided
174 pi_s=a E pi_t=e s|0=s t|0=t A s|3=t | undecided
175 pi_s=a E pi_t=e s|0=s t|0=t E s|3=t | undecided
176 pi_s=a E pi_t=e s|0=A s a t|0=A t s|3=t | undecided
177 pi_s=a E pi_t=e s|0=A s a t|0=E t s|3=t | undecided
178 pi_s=a E pi_t=e s|0=A s e t|0=A t s|3=t | undecided
179 pi_s=a E pi_t=e s|0=A s e t|0=E t s|3=t | undecided
180 pi_s=a E pi_t=e s|0=E s a t|0=A t s|3=t | undecided
181 pi_s=a E pi_t=e s|0=E s a t|0=E t s|3=t | undecided
182 pi_s=a E pi_t=e s|0=E s e t|0=A t s|3=t | undecided
183 pi_s=a E pi_t=e s|0=E s e t|0=E t s|3=t | undecided
184 pi_s=a E pi_t=a e s|0=A s a t|0=A t A s|3=t | infinite ord(SSTST)=inf ('A A t A A t A t', 6, 'A A t A A t A t')
185 pi_s=a E pi_t=a e s|0=A s a t|0=A t E s|3=t | undecided
187 pi_s=a E pi_t=a e s|0=A s a t|0=E t E s|3=t | undecided
188 pi_s=a E pi_t=a e s|0=A s e t|0=A t A s|3=t | undecided
189 pi_s=a E pi_t=a e s|0=A s e t|0=A t E s|3=t | undecided
191 pi_s=a E pi_t=a e s|0=A s e t|0=E t E s|3=t | undecided
