===== slice 0 of 16 (k5lane.sh 16 0; log k5_n16_s0.log)
solves 42000 closed 29336 stack 28 minval 7.288676 t 954
solves 44000 closed 30755 stack 8 minval 7.288676 t 1004
n16s11 m=5 first phase in [1.079922,1.178097]: ALL CLOSED  boxes 31543 (reused parent Z 17227)  solves 45130  min center value 7.288676 at [1.129, 5.6287, 5.3669, 5.8905, 4.9742, 4.9742]  smallest half-width 1.31e-01  time 1038s
===== slice 12 of 16 (k5lane.sh 16 12; log k5_n16_s12.log)
solves 2000 closed 1408 stack 702 minval 7.326052 t 59
solves 4000 closed 2797 stack 669 minval 7.309965 t 115
solves 8000 closed 5570 stack 573 minval 7.309965 t 235
solves 12000 closed 8357 stack 515 minval 7.309965 t 352
solves 16000 closed 11157 stack 489 minval 7.287890 t 489
solves 20000 closed 13955 stack 409 minval 7.287890 t 636
solves 24000 closed 16744 stack 314 minval 7.287890 t 767
solves 28000 closed 19536 stack 261 minval 7.287890 t 883
solves 30000 closed 20924 stack 247 minval 7.287890 t 941
solves 32000 closed 22334 stack 223 minval 7.286949 t 1008
solves 34000 closed 23720 stack 189 minval 7.286949 t 1073
solves 36000 closed 25108 stack 137 minval 7.286949 t 1138
resumed 138 boxes on stack
solves 40000 closed 27905 stack 56 minval 7.286949 t 1279
solves 42000 closed 29291 stack 27 minval 7.286949 t 1351
n16s12 m=5 first phase in [1.178097,1.276272]: ALL CLOSED  boxes 31685 (reused parent Z 17239)  solves 45402  min center value 7.286949 at [1.1945, 5.6287, 5.6287, 4.9742, 5.6287, 1.1781]  smallest half-width 1.31e-01  time 1475s
===== slice 3 of 16 (k5lane.sh 16 3; log k5_n16_s3.log)
solves 2000 closed 1386 stack 710 minval 7.392354 t 38
solves 6000 closed 4156 stack 633 minval 7.286565 t 103
solves 10000 closed 6949 stack 542 minval 7.286565 t 175
solves 12000 closed 8316 stack 507 minval 7.286565 t 212
solves 20000 closed 13853 stack 389 minval 7.286565 t 346
solves 24000 closed 16641 stack 302 minval 7.286565 t 408
solves 26000 closed 18008 stack 267 minval 7.286565 t 444
