homs 19489
full order 12 3d 36 {'char0': 36, 'char2': 36, 'char3': 36} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 2, 1, 3, 4], [3, 1, 2, 4, 0]]
full order 12 3d 36 {'char0': 36, 'char2': 36, 'char3': 36} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 2, 1, 3, 4], [3, 2, 1, 4, 0]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 1, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 3, 4, 1, 2], [0, 2, 1, 4, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 3, 4, 1, 2], [0, 4, 3, 2, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1]]
