family HBC2_2 T 24 p 7 girth surfaces 72 sec 0.3
surface 0 orientable False feasible False status done nodes 99853 first []
surface 1 orientable False feasible False status done nodes 100033 first []
surface 2 orientable False feasible False status done nodes 159931 first []
surface 3 orientable False feasible False status done nodes 262459 first []
surface 4 orientable False feasible False status done nodes 47761 first []
surface 5 orientable False feasible False status done nodes 203791 first []
surface 6 orientable False feasible False status done nodes 141889 first []
surface 7 orientable False feasible False status done nodes 111943 first []
surface 8 orientable False feasible False status done nodes 64405 first []
surface 9 orientable False feasible False status done nodes 92605 first []
surface 10 orientable False feasible False status done nodes 117139 first []
surface 11 orientable False feasible False status done nodes 107623 first []
surface 12 orientable False feasible False status done nodes 119731 first []
surface 13 orientable False feasible False status done nodes 137521 first []
surface 14 orientable False feasible False status done nodes 129259 first []
surface 15 orientable False feasible False status done nodes 100585 first []
surface 16 orientable False feasible False status done nodes 80989 first []
surface 17 orientable False feasible False status done nodes 111685 first []
surface 18 orientable False feasible False status done nodes 78091 first []
surface 19 orientable False feasible False status done nodes 100753 first []
surface 20 orientable False feasible False status done nodes 111961 first []
surface 21 orientable False feasible False status done nodes 113953 first []
surface 22 orientable False feasible False status done nodes 98731 first []
surface 23 orientable False feasible False status done nodes 94219 first []
surface 24 orientable False feasible False status done nodes 89197 first []
surface 25 orientable True feasible False status done nodes 586651 first []
surface 26 orientable False feasible False status done nodes 7003 first []
surface 27 orientable False feasible False status done nodes 46561 first []
surface 28 orientable False feasible False status done nodes 45787 first []
surface 29 orientable True feasible False status done nodes 694195 first []
surface 30 orientable False feasible False status done nodes 20815 first []
surface 31 orientable True feasible False status done nodes 885451 first []
surface 32 orientable False feasible False status done nodes 71059 first []
surface 33 orientable False feasible False status done nodes 112021 first []
surface 34 orientable False feasible False status done nodes 95899 first []
surface 35 orientable False feasible False status done nodes 49483 first []
surface 36 orientable False feasible False status done nodes 140383 first []
surface 37 orientable False feasible False status done nodes 58525 first []
surface 38 orientable False feasible False status done nodes 134083 first []
surface 39 orientable False feasible False status done nodes 105799 first []
surface 40 orientable False feasible False status done nodes 49099 first []
surface 41 orientable False feasible False status done nodes 49099 first []
surface 42 orientable True feasible False status done nodes 784423 first []
surface 43 orientable True feasible False status done nodes 479491 first []
surface 44 orientable False feasible False status done nodes 14371 first []
surface 45 orientable False feasible False status done nodes 68911 first []
surface 46 orientable False feasible False status done nodes 100375 first []
surface 47 orientable False feasible False status done nodes 127939 first []
surface 48 orientable False feasible False status done nodes 84139 first []
surface 49 orientable False feasible False status done nodes 14419 first []
surface 50 orientable False feasible False status done nodes 101995 first []
surface 51 orientable True feasible False status done nodes 653863 first []
surface 52 orientable False feasible False status done nodes 110797 first []
surface 53 orientable False feasible False status done nodes 100711 first []
surface 54 orientable False feasible False status done nodes 98725 first []
surface 55 orientable False feasible False status done nodes 130999 first []
surface 56 orientable False feasible False status done nodes 92413 first []
surface 57 orientable False feasible False status done nodes 120919 first []
surface 58 orientable False feasible False status done nodes 99955 first []
surface 59 orientable False feasible False status done nodes 85975 first []
surface 60 orientable False feasible False status done nodes 289609 first []
surface 61 orientable False feasible False status done nodes 367039 first []
surface 62 orientable False feasible False status done nodes 262525 first []
surface 63 orientable False feasible False status done nodes 858103 first []
surface 64 orientable False feasible False status done nodes 261751 first []
surface 65 orientable True feasible True status done nodes 75410 first [[1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 3, 6, 2, 3, 6, 2, 3, 2, 2, 1, 3, 5, 1, 6, 3, 4, 2, 1, 5, 2, 3]]
surface 66 orientable False feasible False status done nodes 683005 first []
surface 67 orientable True feasible True status done nodes 38981 first [[1, 1, 2, 1, 2, 4, 1, 1, 4, 2, 1, 2, 1, 1, 2, 2, 6, 1, 2, 6, 1, 2, 1, 1, 1, 3, 2, 6, 1, 3, 1, 5, 1, 3, 4, 6]]
surface 68 orientable False feasible False status done nodes 424963 first []
surface 69 orientable False feasible False status done nodes 234211 first []
surface 70 orientable False feasible False status done nodes 418981 first []
surface 71 orientable False feasible True status done nodes 31029 first [[1, 2, 1, 2, 6, 2, 3, 2, 4, 1, 3, 4, 1, 3, 2, 5, 3, 1, 4, 1, 2, 3, 6, 5, 1, 2, 2, 5, 3, 2, 1, 4, 1, 3, 6, 4]]
