SUMMAND_CERTIFICATE_PASS
{"summands": [5, 4], "dimension": 400, "pair_ranks": [159, 159, 159], "triple_rank": 237, "global_fixed": 0, "h1": 0} seconds 26.37
{"summands": [5, 5], "dimension": 400, "pair_ranks": [159, 159, 159], "triple_rank": 237, "global_fixed": 0, "h1": 0} seconds 26.42
{"summands": [5, 6], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 26.64
{"summands": [5, 7], "dimension": 1100, "pair_ranks": [440, 440, 440], "triple_rank": 660, "global_fixed": 0, "h1": 0} seconds 26.98
{"summands": [6, 0], "dimension": 2700, "pair_ranks": [1080, 1080, 1080], "triple_rank": 1620, "global_fixed": 0, "h1": 0} seconds 29.33
{"summands": [6, 1], "dimension": 2025, "pair_ranks": [807, 808, 807], "triple_rank": 1207, "global_fixed": 0, "h1": 0} seconds 30.55
{"summands": [6, 2], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 30.77
{"summands": [6, 3], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 31.0
{"summands": [6, 4], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 31.22
{"summands": [6, 5], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 31.47
{"summands": [6, 6], "dimension": 2025, "pair_ranks": [808, 807, 808], "triple_rank": 1208, "global_fixed": 0, "h1": 0} seconds 32.7
{"summands": [6, 7], "dimension": 2475, "pair_ranks": [990, 990, 990], "triple_rank": 1485, "global_fixed": 0, "h1": 0} seconds 34.62
{"summands": [7, 0], "dimension": 3300, "pair_ranks": [1320, 1320, 1320], "triple_rank": 1980, "global_fixed": 0, "h1": 0} seconds 38.44
{"summands": [7, 1], "dimension": 2475, "pair_ranks": [990, 990, 990], "triple_rank": 1485, "global_fixed": 0, "h1": 0} seconds 40.37
{"summands": [7, 2], "dimension": 1100, "pair_ranks": [439, 439, 439], "triple_rank": 657, "global_fixed": 0, "h1": 0} seconds 40.71
{"summands": [7, 3], "dimension": 1100, "pair_ranks": [440, 440, 440], "triple_rank": 660, "global_fixed": 0, "h1": 0} seconds 41.04
{"summands": [7, 4], "dimension": 1100, "pair_ranks": [440, 440, 440], "triple_rank": 660, "global_fixed": 0, "h1": 0} seconds 41.39
{"summands": [7, 5], "dimension": 1100, "pair_ranks": [440, 440, 440], "triple_rank": 660, "global_fixed": 0, "h1": 0} seconds 41.7
{"summands": [7, 6], "dimension": 2475, "pair_ranks": [990, 990, 990], "triple_rank": 1485, "global_fixed": 0, "h1": 0} seconds 43.61
{"summands": [7, 7], "dimension": 3025, "pair_ranks": [1207, 1207, 1207], "triple_rank": 1806, "global_fixed": 0, "h1": 0} seconds 46.7
