TOP AAAtAtAATTattaTTaataT n=2 W0=A0.A0.A0.A1.A2.A2.a0.a2.a0.a0.a1 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtAATTaataTattaTT n=2 W0=A0.A0.A0.A1.A2.A2.a0.a0.a1.a0.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtAATTaattaTTataT n=2 W0=A0.A0.A0.A1.A2.A2.a0.a0.a2.a0.a1 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtAATTaattaTataTT n=2 W0=A0.A0.A0.A1.A2.A2.a0.a0.a2.a1.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtAATataTTaattaTT n=2 W0=A0.A0.A0.A1.A2.A2.a1.a2.a0.a0.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtATTataTaattaaTT n=2 W0=A0.A0.A0.A1.A2.a0.a1.a0.a0.a2.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtATTattaaTTaataT n=2 W0=A0.A0.A0.A1.A2.a0.a2.a2.a0.a0.a1 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtATTaataTattaaTT n=2 W0=A0.A0.A0.A1.A2.a0.a0.a1.a0.a2.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtATTaattATataaTT n=2 W0=A0.A0.A0.A1.A2.a0.a0.A2.a1.a2.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtATTaattaaTTataT n=2 W0=A0.A0.A0.A1.A2.a0.a0.a2.a2.a0.a1 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtATTaattaaTatATT n=2 W0=A0.A0.A0.A1.A2.a0.a0.a2.a2.a1.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtATatATTaattaaTT n=2 W0=A0.A0.A0.A1.A2.a1.A2.a0.a0.a2.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtATataaTTaattATT n=2 W0=A0.A0.A0.A1.A2.a1.a2.a2.a0.a0.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaTTataTaattAATT n=2 W0=A0.A0.A0.A1.a2.a0.a1.a0.a0.A2.A2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaTTattAATTaataT n=2 W0=A0.A0.A0.A1.a2.a0.A2.A2.a0.a0.a1 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaTTaataTattAATT n=2 W0=A0.A0.A0.A1.a2.a0.a0.a1.a0.A2.A2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaTTaattAATTataT n=2 W0=A0.A0.A0.A1.a2.a0.a0.A2.A2.a0.a1 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaTTaattAATataTT n=2 W0=A0.A0.A0.A1.a2.a0.a0.A2.A2.a1.a2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaTTaattaTatAATT n=2 W0=A0.A0.A0.A1.a2.a0.a0.a2.a1.A2.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaTatAATTaattaTT n=2 W0=A0.A0.A0.A1.a2.a1.A2.A2.a0.a0.a2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaTataTTaattAATT n=2 W0=A0.A0.A0.A1.a2.a1.a2.a0.a0.A2.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaaTTataTaattATT n=2 W0=A0.A0.A0.A1.a2.a2.a0.a1.a0.a0.A2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaaTTattATTaataT n=2 W0=A0.A0.A0.A1.a2.a2.a0.A2.a0.a0.a1 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaaTTaataTattATT n=2 W0=A0.A0.A0.A1.a2.a2.a0.a0.a1.a0.A2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaaTTaattATTataT n=2 W0=A0.A0.A0.A1.a2.a2.a0.a0.A2.a0.a1 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtAtaaTTaattATatATT n=2 W0=A0.A0.A0.A1.a2.a2.a0.a0.A2.a1.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
