GroupApproximation.Full.SK13.language_reduces_to_wp	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.slope_reduces_to_sturmian_language	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.sturmian_infinite_minimal	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.sturmian_language_equiv_slope	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.sturmian_language_reduces_to_slope	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.turing_antichain_continuum	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.word_multiplies_out	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.wp_degree_eq_language	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.wp_reduces_to_language	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.wp_reduces_under_embedding	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK13.wp_solvable_iff_recursive	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK14.IsAlekseevThomExample	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Basic	def	0	0	0
