GroupApproximation.Full.SK13.sturmian_language_reduces_to_slope	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	113
GroupApproximation.Full.SK13.turing_antichain_continuum	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	185
GroupApproximation.Full.SK13.word_multiplies_out	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	49
GroupApproximation.Full.SK13.wp_degree_eq_language	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	84
GroupApproximation.Full.SK13.wp_reduces_to_language	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	66
GroupApproximation.Full.SK13.wp_reduces_under_embedding	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	166
GroupApproximation.Full.SK13.wp_solvable_iff_recursive	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.WordProblems.Endpoints	94
GroupApproximation.Full.SK14.IsAlekseevThomExample	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Basic	103
GroupApproximation.Full.SK14.isResiduallyFinite_of_isFinitelyPresented_of_isLEF	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Basic	59
GroupApproximation.Full.SK14.manuscriptSentence_soficExampleNotLEF_answersAlekseevThom	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Basic	121
GroupApproximation.Full.SK14.not_isFinitelyPresented_general	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Endpoints	53
GroupApproximation.Full.SK14.printedGeneralNotFinitelyPresented	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Endpoints	150
GroupApproximation.Full.SKRoot.cor_host	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	57
GroupApproximation.Full.SKRoot.cor_wp	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	142
GroupApproximation.Full.SKRoot.cor_wp_proof	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	161
GroupApproximation.Full.SKRoot.lem_halfline	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	113
GroupApproximation.Full.SKRoot.lem_host	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	86
GroupApproximation.Full.SKRoot.lem_nn	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	69
GroupApproximation.Full.SKRoot.sec_questions	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	184
GroupApproximation.LevelShiftDelta.commutator_levelShift_levelMul	GroupApproximation.GroupTheory.LevelShiftDelta	226
GroupApproximation.LevelShiftDelta.exists_levelZeroEmbedding	GroupApproximation.GroupTheory.LevelShiftDelta	331
GroupApproximation.LevelShiftDelta.hLetters	GroupApproximation.GroupTheory.LevelShiftDeltaWords	55
GroupApproximation.LevelShiftDelta.infinite_levelDelta	GroupApproximation.GroupTheory.LevelShiftDelta	290
GroupApproximation.LevelShiftDelta.isLevelForm_gValue	GroupApproximation.GroupTheory.LevelShiftDeltaWords	103
GroupApproximation.LevelShiftDelta.levelDelta	GroupApproximation.GroupTheory.LevelShiftDelta	251
GroupApproximation.LevelShiftDelta.shiftPair	GroupApproximation.GroupTheory.LevelShiftDeltaWords	48
GroupApproximation.LevelShiftDelta.valueWord	GroupApproximation.GroupTheory.LevelShiftDeltaWords	62
GroupApproximation.Manuscript.SimpleKazhdanSofic.AbstractIntro.manuscriptSentence_generalLimitsNotFinitelyPresented	GroupApproximation.Manuscript.SimpleKazhdanSofic.AbstractIntro.Questions	52
GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.manuscriptSentence_corLefHeredity	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.Endpoints	110
GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.manuscriptSentence_corLefSubstitution	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.Endpoints	95
GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.manuscriptSentence_halflineDeltaIsLEF	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.Endpoints	50
GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.manuscriptSentence_halflineDeltaWordProblem	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.Endpoints	60
GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.manuscriptSentence_halflineLambdaWordProblem	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.Endpoints	78
GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.manuscriptSentence_hostTrivialityCriterion	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.Reduction	227
GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.manuscriptSentence_hostWordMultipliesOut	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.Reduction	191
GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.manuscriptSentence_hostWordProblemReduction	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineB.Reduction	265
GroupApproximation.OracleTruthTable.turingReducible_of_truthTable	GroupApproximation.Computability.OracleTruthTable	97
GroupApproximation.OracleUse.exists_diag	GroupApproximation.Computability.FiniteExtensionStep	76
GroupApproximation.OracleUse.exists_turing_antichain_continuum	GroupApproximation.Computability.PerfectTreeAntichain	255
GroupApproximation.OracleUse.mem_eval_of_agreeBelow	GroupApproximation.Computability.OracleUse	141
GroupApproximation.OracleUse.not_turingReducible_branchSet	GroupApproximation.Computability.PerfectTreeAntichain	231
GroupApproximation.SimpleKazhdanSofic.ContinuedFractionExpansion.irrational_tail	GroupApproximation.Manuscript.SimpleKazhdanSofic.ContinuedFractionExpansion	175
GroupApproximation.SimpleKazhdanSofic.ContinuedFractionExpansion.isContinuedFractionOf_tail	GroupApproximation.Manuscript.SimpleKazhdanSofic.ContinuedFractionExpansion	166
