# struct_midn psl 23 30 23 1 4 7200 5 2 levels 30
PA [12, 6, 5, 10, 19, 17, 7, 14, 4, 2, 11, 16, 15, 9, 0, 8, 1, 3, 23, 18, 20, 13, 21, 22] PB [8, 11, 18, 7, 17, 6, 13, 16, 10, 2, 0, 20, 15, 5, 21, 23, 3, 19, 9, 4, 1, 22, 14, 12] law 3 skipped
PA [18, 7, 19, 8, 20, 9, 21, 10, 22, 11, 0, 12, 1, 13, 2, 14, 3, 15, 4, 16, 5, 17, 6, 23] PB [8, 7, 13, 2, 15, 23, 9, 22, 11, 17, 16, 0, 5, 3, 4, 14, 18, 6, 10, 20, 21, 19, 1, 12] law 4 skipped
PA [17, 2, 13, 22, 18, 4, 15, 0, 7, 1, 11, 3, 5, 9, 21, 23, 19, 8, 12, 14, 6, 16, 10, 20] PB [11, 6, 1, 19, 14, 9, 4, 22, 17, 12, 7, 2, 20, 15, 10, 5, 0, 18, 13, 8, 3, 21, 16, 23] law 3 skipped
PA [0, 5, 16, 14, 1, 19, 15, 18, 9, 12, 8, 3, 13, 11, 22, 4, 20, 6, 10, 23, 17, 21, 7, 2] PB [13, 6, 22, 15, 8, 1, 17, 10, 3, 19, 12, 5, 21, 14, 7, 0, 16, 9, 2, 18, 11, 4, 20, 23] law 4 skipped
PA [17, 18, 5, 9, 20, 1, 11, 12, 10, 15, 22, 21, 4, 16, 6, 23, 0, 13, 2, 8, 7, 14, 19, 3] PB [18, 10, 0, 20, 16, 15, 2, 11, 6, 14, 23, 5, 13, 8, 17, 4, 3, 22, 19, 9, 1, 7, 12, 21] law 4 skipped
PA [15, 14, 8, 22, 7, 0, 2, 23, 17, 19, 12, 20, 11, 5, 4, 9, 18, 16, 6, 13, 3, 1, 10, 21] PB [9, 11, 16, 5, 4, 18, 10, 21, 1, 7, 2, 23, 22, 17, 0, 3, 14, 6, 20, 19, 8, 13, 15, 12] law 4 skipped
PA [9, 7, 0, 17, 21, 13, 10, 15, 11, 12, 14, 20, 23, 19, 2, 4, 5, 1, 6, 3, 18, 22, 16, 8] PB [7, 15, 16, 23, 12, 13, 21, 2, 9, 6, 17, 8, 1, 0, 18, 10, 5, 4, 20, 11, 22, 19, 3, 14] law 4 skipped
PA [22, 1, 2, 21, 3, 0, 15, 19, 13, 6, 4, 20, 14, 18, 10, 7, 12, 8, 9, 11, 17, 23, 16, 5] PB [1, 2, 21, 3, 0, 15, 19, 13, 6, 4, 20, 14, 18, 10, 7, 12, 8, 9, 11, 17, 23, 16, 22, 5] law 4 skipped
PA [3, 23, 2, 8, 10, 11, 7, 12, 9, 1, 5, 22, 15, 13, 6, 0, 4, 19, 16, 21, 17, 18, 20, 14] PB [19, 9, 12, 21, 23, 8, 17, 20, 10, 4, 0, 7, 18, 1, 15, 16, 13, 14, 5, 11, 22, 6, 2, 3] law 4 skipped
PA [7, 5, 21, 15, 19, 11, 8, 13, 9, 10, 12, 18, 23, 17, 0, 2, 3, 22, 4, 1, 16, 20, 14, 6] PB [14, 11, 12, 3, 9, 20, 4, 0, 17, 7, 10, 19, 23, 6, 15, 18, 8, 2, 21, 5, 16, 22, 13, 1] law 4 skipped
PA [14, 23, 13, 19, 21, 22, 18, 0, 20, 12, 16, 10, 3, 1, 17, 11, 15, 7, 4, 9, 5, 6, 8, 2] PB [14, 12, 9, 4, 17, 10, 23, 15, 8, 21, 16, 13, 11, 3, 20, 0, 7, 19, 6, 18, 2, 5, 22, 1] law 4 skipped
PA [11, 20, 0, 13, 7, 3, 10, 21, 4, 18, 19, 16, 17, 8, 14, 2, 9, 5, 22, 12, 15, 1, 23, 6] PB [22, 14, 4, 1, 20, 19, 6, 15, 10, 18, 23, 9, 17, 12, 21, 8, 7, 3, 0, 13, 5, 11, 16, 2] law 4 skipped
PA [16, 10, 14, 6, 3, 8, 4, 5, 7, 13, 23, 12, 18, 20, 21, 17, 22, 19, 11, 15, 9, 2, 0, 1] PB [8, 10, 7, 15, 14, 22, 19, 21, 17, 4, 18, 16, 5, 6, 9, 23, 20, 0, 1, 13, 11, 2, 12, 3] law 6 skipped
PA [14, 0, 18, 3, 23, 17, 2, 20, 6, 16, 15, 11, 8, 21, 13, 19, 1, 7, 22, 12, 9, 5, 4, 10] PB [14, 16, 10, 12, 17, 6, 5, 19, 11, 22, 2, 8, 3, 23, 0, 18, 1, 4, 15, 7, 21, 20, 9, 13] law 4 skipped
PA [22, 13, 14, 11, 12, 3, 9, 20, 4, 0, 17, 7, 10, 19, 23, 6, 15, 18, 8, 2, 21, 5, 16, 1] PB [17, 21, 23, 5, 9, 18, 11, 16, 4, 2, 12, 7, 3, 6, 20, 0, 19, 14, 1, 22, 10, 15, 8, 13] law 4 skipped
PA [23, 1, 19, 2, 5, 16, 8, 22, 21, 10, 15, 17, 11, 13, 18, 7, 6, 20, 12, 0, 3, 9, 4, 14] PB [17, 23, 9, 11, 4, 12, 3, 20, 19, 1, 10, 8, 21, 5, 18, 16, 2, 7, 6, 0, 14, 22, 15, 13] law 3 skipped
PA [20, 22, 14, 1, 18, 2, 10, 21, 7, 3, 12, 0, 8, 15, 9, 19, 11, 13, 17, 6, 23, 4, 16, 5] PB [14, 1, 2, 0, 5, 12, 11, 17, 6, 19, 23, 13, 3, 15, 21, 20, 4, 9, 7, 8, 18, 22, 10, 16] law 4 skipped
PA [17, 13, 12, 22, 8, 3, 11, 23, 2, 10, 5, 14, 1, 0, 19, 16, 6, 21, 4, 9, 15, 7, 20, 18] PB [23, 14, 16, 9, 17, 8, 2, 1, 6, 15, 13, 3, 10, 0, 21, 7, 12, 11, 5, 19, 4, 20, 22, 18] law 4 skipped
PA [2, 12, 8, 10, 7, 15, 14, 22, 19, 21, 17, 4, 18, 16, 5, 6, 9, 23, 20, 0, 1, 13, 11, 3] PB [15, 12, 2, 17, 0, 5, 11, 3, 16, 13, 9, 8, 18, 4, 22, 7, 23, 21, 6, 1, 10, 20, 19, 14] law 4 skipped
PA [7, 6, 22, 13, 1, 21, 5, 9, 17, 18, 23, 14, 15, 0, 4, 11, 8, 19, 10, 3, 2, 20, 12, 16] PB [5, 1, 18, 8, 11, 20, 23, 7, 16, 19, 9, 3, 22, 6, 17, 0, 14, 15, 12, 13, 4, 10, 21, 2] law 4 skipped
PA [4, 10, 21, 5, 1, 18, 8, 11, 20, 23, 7, 16, 19, 9, 3, 22, 6, 17, 0, 14, 15, 12, 13, 2] PB [19, 23, 10, 18, 13, 22, 9, 8, 4, 1, 14, 6, 12, 17, 0, 15, 5, 2, 21, 20, 7, 16, 11, 3] law 4 skipped
PA [0, 5, 2, 17, 21, 15, 8, 6, 22, 16, 20, 12, 9, 14, 10, 11, 13, 19, 23, 18, 1, 3, 4, 7] PB [9, 12, 15, 18, 21, 1, 4, 7, 10, 13, 16, 19, 22, 2, 5, 8, 11, 14, 17, 20, 0, 3, 6, 23] law 6 skipped
PA [15, 7, 1, 4, 11, 0, 10, 22, 6, 9, 3, 18, 16, 13, 8, 21, 14, 23, 19, 12, 2, 20, 17, 5] PB [10, 4, 20, 18, 11, 5, 9, 1, 21, 3, 22, 0, 2, 8, 23, 7, 13, 15, 16, 12, 17, 14, 6, 19] law 4 skipped
PA [11, 22, 5, 19, 20, 17, 18, 9, 15, 3, 10, 6, 0, 13, 16, 2, 23, 12, 21, 1, 14, 8, 4, 7] PB [6, 3, 14, 5, 21, 20, 15, 7, 2, 1, 17, 8, 19, 16, 0, 4, 12, 13, 23, 9, 10, 18, 22, 11] law 4 skipped
PA [1, 7, 23, 6, 12, 14, 15, 11, 16, 13, 5, 9, 3, 19, 17, 10, 4, 8, 0, 20, 2, 21, 22, 18] PB [15, 4, 10, 9, 16, 21, 19, 20, 7, 11, 22, 3, 13, 14, 12, 17, 1, 0, 6, 18, 8, 23, 2, 5] law 4 skipped
PA [18, 17, 10, 1, 12, 9, 16, 20, 5, 6, 23, 2, 3, 11, 15, 22, 19, 7, 21, 14, 13, 8, 0, 4] PB [12, 4, 10, 15, 21, 13, 3, 0, 19, 18, 5, 14, 9, 17, 23, 8, 16, 11, 20, 7, 6, 2, 22, 1] law 4 skipped
PA [11, 7, 1, 14, 17, 3, 23, 13, 22, 2, 15, 9, 5, 12, 0, 6, 20, 21, 18, 19, 10, 16, 4, 8] PB [19, 9, 21, 4, 3, 10, 15, 13, 14, 1, 5, 16, 20, 7, 8, 6, 11, 18, 17, 0, 12, 2, 23, 22] law 4 skipped
PA [1, 10, 23, 20, 6, 9, 22, 16, 12, 19, 7, 13, 4, 5, 2, 3, 17, 0, 11, 18, 14, 8, 21, 15] PB [9, 22, 17, 14, 12, 4, 21, 1, 8, 20, 7, 19, 3, 6, 0, 15, 13, 10, 5, 18, 11, 23, 16, 2] law 4 skipped
PA [14, 23, 2, 5, 6, 18, 16, 7, 17, 13, 15, 12, 20, 19, 4, 1, 3, 22, 9, 0, 21, 10, 11, 8] PB [2, 11, 21, 20, 16, 13, 3, 18, 1, 6, 12, 4, 17, 14, 10, 9, 19, 5, 0, 8, 23, 22, 7, 15] law 4 skipped
PA [2, 14, 1, 13, 20, 0, 17, 9, 7, 4, 22, 12, 5, 23, 10, 3, 16, 11, 8, 6, 21, 15, 18, 19] PB [11, 1, 14, 4, 17, 7, 20, 10, 0, 13, 3, 16, 6, 19, 9, 22, 12, 2, 15, 5, 18, 8, 21, 23] law 4 skipped
