OVERFLOW active=3001 total=3196
  TTaaaTaaaaat -> aaaaaaTaaaaaaaaaaT
  taaaaaaaaaaaaaaaaT -> Taaaaaaaat
  TTaaTaTaaaaat -> aaaaTaaTaaaaaaaaaaT
  TTaTaaTaaaaat -> aaTaaaaTaaaaaaaaaaT
  TTaTaTaTaaaaat -> aaTaaTaaTaaaaaaaaaaT
  TTaTaaaTaaaaat -> aaTaaaaaaTaaaaaaaaaaT
  TTaaTaaTaaaaat -> aaaaTaaaaTaaaaaaaaaaT
  taTAtaTATaaaaat -> TatAtATAtaaaaaaaaaaaT
  TTaTaaTaTaaaaat -> aaTaaaaTaaTaaaaaaaaaaT
  TTaTaTaaTaaaaat -> aaTaaTaaaaTaaaaaaaaaaT
  TTaaTaaaTaaaaat -> aaaaTaaaaaaTaaaaaaaaaaT
  TTaTaTaTaTaaaaat -> aaTaaTaaTaaTaaaaaaaaaaT
  TTaTaaTaaTaaaaat -> aaTaaaaTaaaaTaaaaaaaaaaT
  taTAtaTATaTaaaaat -> TatAtATAtaaaTaaaaaaaaaaT
  TTaTaTaTaaTaaaaat -> aaTaaTaaTaaaaTaaaaaaaaaaT
  taTAtaTATaaTaaaaat -> TatAtATAtaaaaaTaaaaaaaaaaT
  taTAtaTATaTaTaaaaat -> TatAtATAtaaaTaaTaaaaaaaaaaT
  TTaTaTaaaTat -> aaTaaTaaaaaaTaaT
  TTaTaTaaaTaat -> aaTaaTaaaaaaTaaaaT
  TTaTaTaaaTaaat -> aaTaaTaaaaaaTaaaaaaT
  TTaTaTaaaTaaaat -> aaTaaTaaaaaaTaaaaaaaaT
  TTaTaTaaaTaaaaat -> aaTaaTaaaaaaTaaaaaaaaaaT
  TTaTaaTaaaTat -> aaTaaaaTaaaaaaTaaT
  TTaTaaTaaaTaat -> aaTaaaaTaaaaaaTaaaaT
  TTaTaaTaaaTaaat -> aaTaaaaTaaaaaaTaaaaaaT
  TTaTaaTaaaTaaaat -> aaTaaaaTaaaaaaTaaaaaaaaT
  TTaTaaTaaaTaaaaat -> aaTaaaaTaaaaaaTaaaaaaaaaaT
  TTaTaTaTaaaTat -> aaTaaTaaTaaaaaaTaaT
  TTaTaTaTaaaTaat -> aaTaaTaaTaaaaaaTaaaaT
  TTaTaTaTaaaTaaat -> aaTaaTaaTaaaaaaTaaaaaaT
  TTaTaTaTaaaTaaaat -> aaTaaTaaTaaaaaaTaaaaaaaaT
  TTaTaTaTaaaTaaaaat -> aaTaaTaaTaaaaaaTaaaaaaaaaaT
  TTaTaTaaTaTat -> aaTaaTaaaaTaaTaaT
