OVERFLOW active=3001 total=3258
  TatAtt -> taatAA
  taaaatAA -> TaatAtt
  taataatAA -> TatatAtt
  TTaaatAtt -> aaaaaatAA
  TaatAtttta -> taaaatAttA
  TatatAtttta -> taataatAttA
  aaTaaaaaaaa -> TTaTaaaatt
  aaTaaaaaatAA -> TTaTaaatAtt
  aaTaaaaaataa -> TTaTaaatatt
  TTaTaaaattttA -> aaTaaaaaaatta
  TTaTaaatAtttta -> aaTaaaaaatAttA
  TTaTaaatattttA -> aaTaaaaaatatta
  TTaTaaatattaTT -> aaTaaaaaataTTa
  aaaattaTTTaaaaaa -> ttaTTTTaaTaaatt
  TTaTaaaatAtATAta -> aaTaTTaaatAtaTAt
  TataaattaTaaaaaa -> taataTTaaaTaaatt
  aattaTTTaaTaaaaaa -> ttaTTTTaTaTaaatt
  taaaataTTaaTaaatt -> TaataattaTaaaaaa
  aaTaaaaaataTAtaTAt -> TTaTaaatatAtATAta
  taataataTTaaTaaatt -> TatataattaTaaaaaa
  TaatattaTaaTaaaaaa -> taaaataTTaTaTaaatt
  TatatattaTaaTaaaaaa -> taataataTTaTaTaaatt
  ttAtAtATAtaaaTaaaaaa -> AttttaTAtaTATaTaaatt
  TTaTaaatatAtATAtaaaT -> aaTaaaaaataTAtaTATat
  aTTaTTaaaTaaaaaa -> ATTTTTTaaTaaatt
  aTTaTTaTaaTaaaaaa -> ATTTTTTaTaTaaatt
  TaaatttAtATAtaaaTaaaaaa -> taaaaattaTAtaTATaTaaatt
  aaaaaaaaaa -> TTaaaaatt
  aaaaaaaatAA -> TTaaaatAtt
  aaaaaaaataa -> TTaaaatatt
  TTaaaaattttA -> aaaaaaaaatta
  TTaaaatAtttta -> aaaaaaaatAttA
  TTaaaatattttA -> aaaaaaaatatta
  TTaaaatattaTT -> aaaaaaaataTTa
  TTaaaaattttaTT -> ttaTTTTaaaaatt
  TTaaaaatAtATAta -> aTTaaaatAtaTAt
  aattaTTTaaaaaaaa -> ttaTTTTaTaaaatt
  aaaaaaaataTAtaTAt -> TTaaaatatAtATAta
  ttaTAtaTATaaaatt -> atAtATATaaaatta
  TaatattaTaaaaaaaa -> taaaataTTaTaaaatt
  TatatattaTaaaaaaaa -> taataataTTaTaaaatt
  TTaaaatatAtATAtaaaT -> aaaaaaaataTAtaTATat
  ttaTAtaTATaaaaaatt -> atAtATATaaaaaatta
  aaaaaataatAA -> TTaaatatAtt
  TTaaataattttA -> aaaaaataaatta
  TTaaataattaTT -> aaaaaataTTaa
  TTaaatatAtttta -> aaaaaataatAttA
