FAIL A=False B=False host=['a', 'baBB'] X=('perm', 2) pair=(6,4) rkX=3 rkY=4 rkZ=3 [(6, 4), (11, 8)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 3) pair=(4,6) rkX=4 rkY=2 rkZ=2 [(4, 6), (9, 5)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 3) pair=(13,10) rkX=4 rkY=2 rkZ=2 [(13, 10), (19, 4)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 3) pair=(23,20) rkX=4 rkY=5 rkZ=4 [(23, 20), (14, 19)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(26,2) rkX=7 rkY=2 rkZ=2 [(26, 2), (24, 5)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(30,39) rkX=7 rkY=5 rkZ=5 [(30, 39), (19, 26)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(37,8) rkX=7 rkY=5 rkZ=5 [(37, 8), (11, 37)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(5,20) rkX=7 rkY=2 rkZ=2 [(5, 20), (6, 32)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(36,31) rkX=7 rkY=9 rkZ=9 [(36, 31), (15, 28)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(16,30) rkX=7 rkY=3 rkZ=3 [(16, 30), (40, 45)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(10,0) rkX=7 rkY=9 rkZ=9 [(10, 0), (15, 23)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(3,2) rkX=7 rkY=4 rkZ=4 [(3, 2), (19, 0)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(7,43) rkX=7 rkY=2 rkZ=2 [(7, 43), (33, 20)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(0,4) rkX=7 rkY=4 rkZ=4 [(0, 4), (19, 34)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(41,4) rkX=7 rkY=9 rkZ=9 [(41, 4), (28, 18)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(27,10) rkX=7 rkY=5 rkZ=5 [(27, 10), (30, 11)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 3) pair=(19,20) rkX=4 rkY=5 rkZ=4 [(19, 20), (4, 18)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(17,15) rkX=7 rkY=2 rkZ=2 [(17, 15), (16, 0)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(25,15) rkX=7 rkY=2 rkZ=2 [(25, 15), (19, 26)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(20,0) rkX=7 rkY=2 rkZ=2 [(20, 0), (25, 16)]
