coordinate qsharp_0 lift_0
245 -11915421169250504376659332121982359171635387980862861286352891384074107039142/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
246 8358813993923264302130890441765302703953526584856811973693937642431825584305/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
247 12570943550510681181579400748677206288099428033489352767692983023336386876562/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
248 -22734453332313036677148596487226314996663020560537700163804911825364372124288/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
249 2099543340039939504189720259980455481129572304358312125331391322100018566254/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
250 -5827917347082082310750000010281335786464394002463744272840864684864276414982/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
251 6945538390493392893833559776084291672695381479895304334589411280169346759358/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
252 -4950577195551818179332206416004863099454558348638528747941813855669307241032/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
253 12753847930274402081958556133973078300908617218515388922915695178809484467419/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
254 5736268934073426233503585648479323179299312841400383786899328056323787175994/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
255 -8968572555705239402559754771549992784262036265659849550097551615533863669768/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
256 18902017275932895942728132849467961161916660117437506900776541387974408830775/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
257 14379976418705523998608218278236191609665260370719609979103528876173683058456/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
258 664993798879298027582912964659545311704967933417557032117292405389565361889/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
259 10297339388916436862229523359170318264538592187657606685733298514365807961526/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
260 -17804925099608701674624302066711094183451394550860841032471170791409971006266/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
261 540618348049022618100743761702415827360559701136384071734025869961011110821/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
262 -4346212236183193367231410682778528484884862802825503706411684165520718965049/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
263 -33795662414803295129280185376898165462918228567816940910190265892483835536986/804004234784749835623050938825990679641915451901584223035995870071318966348431 -10541542235
264 -23997640448828184619557732350711546715544444044486139229637316543394130331295/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
265 3721822028076737783281323081794566193415763195610343472367754699301502120303/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
266 24712946118256530991582420779873740693345535214268924511666121368714839946100/804004234784749835623050938825990679641915451901584223035995870071318966348431 -8457734341
267 20110931942277090325315993787665593946283030776203791062874251031952002950295/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
268 -12189236039752056754185532355604424656361901292691839931097147104172068849933/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
269 5095790258488708696129880066577457596193143789218351741553541084847811123718/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
270 7063767805017634373020225666197794952132868977776476683251490423522421463110/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
271 10898589660938523090448997408358495784244121973288493390612203011785362168154/804004234784749835623050938825990679641915451901584223035995870071318966348431 7354556204
272 -300779146791110127096829938522013932615307093864414375806625165309981834659/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
273 7411413755400767589048275587769285569444374721518733846874000130262821069079/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
274 16652898685795780250590181957851811170954003892886494526426234590802429933701/804004234784749835623050938825990679641915451901584223035995870071318966348431 -122565354
275 -3663888873471712037512481962041293696841731816613245748038252359269368440969/804004234784749835623050938825990679641915451901584223035995870071318966348431 5883645730
276 -13891511637254582303482762529422670350577397401452537707822196659450620908280/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
277 5925388814714990617861017864799486170409450649702666221512797624582379249458/804004234784749835623050938825990679641915451901584223035995870071318966348431 5883660845
278 356618392867306241284582942948524308379446332363342434852043211683983036410/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
279 8745288290771916452805766731267893631061497411637755445117170424649457899983/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
280 -4892224032073450882826830377944017636117192090806546075964713840757363895320/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
281 1267342812719262290997012109046110100025531804124763511549236880285674417308/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
282 2833659836362904023683275652735333989396709964379365572103988928214780554133/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
283 -7336604052551951123210420675272625751846018490245394187283122199556146995830/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
284 1600998953759888634851230794502123344473244788005555326652057579554460595420/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
285 34902032237564367822478759710023436993962364237764313545615961324115745507392/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
286 -15781828048335388969816891018087319005905091995860818289255827597064482962199/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
287 96373890502892990048773023724724446202176318139339721820888141737472229992/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
288 -3938217836249438108559990253619207554937449175290521658637071473220683694547/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
289 3370589109415877570606456867179331484712463893940292458836986002205953074468/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
290 -7868994893700532352525231300633400118474217118975839114496850918523985148906/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
291 -518816709395358880560580871081455644975576567528646775381487618763081307477/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
292 924631934641161194080411844805661278204601741112286246269490287457495270425/89333803864972203958116770980665631071323939100176024781777318896813218483159 4167578428
293 -4950577195551818179332206416004863099454558348638528747941813855669307241032/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
294 -6945538390493392893833559776084291672695381479895304334589411280169346759358/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
295 5788128771077646945729187529944072242568583416655511069075103332038841441239/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
296 0 0
297 -1802710211428870759076098258670064936724634406554639434297604607830348795438/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
298 -3217454070718909611712793107516380191707537282899824933761131247696938261778/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
299 -21083918064637499440772378464641902262655733177702373168430599588565347304256/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
300 4589150013756245411525164157643724113461329954984910453834172285372159913870/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
301 -27966634610103368859037345105485959229051622476436617071425672397036534798420/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
302 17000485935757338579443899671549234575963764343069726718156291810548375536973/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
303 -3234370392978207483834795472534530767324269727033080697410983338265407703212/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
304 2552819075134468127134732538239567447522093619952441620254331262362242760942/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
305 -251438004390028967725764784505206776047909688746198628431240093029808212897/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
306 -112548402700526982088244076177858999264260005104755863374692782169443259217/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
307 45408222557552657777517824038693364200036328601106836049048095364258697333239/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
308 -2288119446986534397452316386891189323185851250887208488719308128426073541997/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
309 -918324250802036486302300983578985881554112482276391155827336300131258282200/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
310 -143803327804987626020030201931152296396935501018567499710192919674702783973/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
311 50252021831507151291893487519905929864633806709386618309215075180703869719874/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
312 1121967528267265244018123366582728083509067512174583147874922232461508290096/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
313 -9862053896021943471666835526085804318041317075587300378569254714236630830182/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
314 -6945538390493392893833559776084291672695381479895304334589411280169346759358/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
315 53548294038848738428985105855106994230947210833499786698108307218867830132640/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
316 34405156104847872617102621073472166626812176599278684612132149526045504501659/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
317 -11191179508527222365443563979519175445385483749948459977176552119640786434845/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
318 0 0
319 -212815065062318615264552741017372011982510831344774935141850292009280252437/268001411594916611874350312941996893213971817300528074345331956690439655449477 -1
