coordinate qsharp_0 lift_0
52 292330257305572291172977838789821338076572087836991319902990034447219357558/268001411594916611874350312941996893213971817300528074345331956690439655449477 19612151248
53 -11847846035281863678568205579084771452086839540913014703256626786938156506390/804004234784749835623050938825990679641915451901584223035995870071318966348431 -3799850704
54 14131605910559832383714707400475460588582872180332820877829952045946288164772/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
55 16806092026824691879562603476670008724259199926444040049276808583596858313574/804004234784749835623050938825990679641915451901584223035995870071318966348431 -14341372900
56 0 0
57 -8868632692963248829112108268319929972403055268193008044879546733424090016414/268001411594916611874350312941996893213971817300528074345331956690439655449477 12870477619
58 -34902946410845361349026224223601559507690771311160552513859130383725557895150/804004234784749835623050938825990679641915451901584223035995870071318966348431 8457736552
59 8898594773697410870136738669816056566004773751407889854498937735287850329105/268001411594916611874350312941996893213971817300528074345331956690439655449477 -7231986548
60 0 0
61 7480668856331084742053508805621185550569119499407940410094118307230648961611/804004234784749835623050938825990679641915451901584223035995870071318966348431 3922430670
62 2015024222616355872382567328286626491195511436770104823445002597598019427972/89333803864972203958116770980665631071323939100176024781777318896813218483159 2941808972
63 -21813483564974184086911067772480505082619752874328238840288537872864474620704/804004234784749835623050938825990679641915451901584223035995870071318966348431 -33340637500
64 24963130019495285132651256781876160214007182627496442691552607834448775561377/804004234784749835623050938825990679641915451901584223035995870071318966348431 3186973396
65 6685962809063930807967709607532811230395382018291388597248561504705514227344/804004234784749835623050938825990679641915451901584223035995870071318966348431 245144972
66 -9652550711613384037705029222782417066233145324675033716849037767959183271289/804004234784749835623050938825990679641915451901584223035995870071318966348431 -2941808972
67 -247056768607076552315406949189936166135222495621482219390334409748368148250/804004234784749835623050938825990679641915451901584223035995870071318966348431 3677291396
68 -3812775383437145353852837822257192827578918549242395166942086693762940629834/804004234784749835623050938825990679641915451901584223035995870071318966348431 -22676560219
69 -17954656987155100497762639881566857663722257937878087073408558372207587023985/804004234784749835623050938825990679641915451901584223035995870071318966348431 22799125417
70 6085034890317077216430959627436278325790438646565548288022918732271436324731/804004234784749835623050938825990679641915451901584223035995870071318966348431 4290146184
71 37645156380729871354102325443480220127348359977452302511346400039609181677545/804004234784749835623050938825990679641915451901584223035995870071318966348431 10296354362
72 -4070923023853446400831421620041254502061698817295564291457215015971991514717/89333803864972203958116770980665631071323939100176024781777318896813218483159 -6619103932
73 14757339926125514038642128999481711489970870431230038001509693536584962247313/268001411594916611874350312941996893213971817300528074345331956690439655449477 4045012338
74 -6534472609275021517670436923384400207971865326588031297292607972749772352691/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
75 -4535329906885101829769118027593778033764025812558354166522980882327040370282/804004234784749835623050938825990679641915451901584223035995870071318966348431 -5148174623
76 27161328409098049539478105435388069420238591089156733456345553884397214061988/804004234784749835623050938825990679641915451901584223035995870071318966348431 5148185592
77 -17756489975391587574445625898495132910066477252087492744182141228094338065885/804004234784749835623050938825990679641915451901584223035995870071318966348431 16180020827
78 -20433428513845249429718568523429455373300683813664858373394919788512718660850/804004234784749835623050938825990679641915451901584223035995870071318966348431 -8825466019
79 -21188935832477511596857080850225670609174607498804897302798495874286430233012/804004234784749835623050938825990679641915451901584223035995870071318966348431 -1348331323
80 -26415928839072008671291295729306901671874567069547633497574508581992885482281/804004234784749835623050938825990679641915451901584223035995870071318966348431 -2941808972
81 8054022923358336179114631160402212337799380188965435352232150982311617301508/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
82 26650877836556556927441510113673207055283367595816722057303383981908312644502/804004234784749835623050938825990679641915451901584223035995870071318966348431 -7477130046
83 3808586628134915987849450869213523545191508859530361954297549016602653179047/268001411594916611874350312941996893213971817300528074345331956690439655449477 22799121853
84 -7889056386738973553151214917570184885458554350336214179741157817345331817029/804004234784749835623050938825990679641915451901584223035995870071318966348431 7967446224
85 -6239828643303074275567169648132403624204345055195360104099834583152623571446/268001411594916611874350312941996893213971817300528074345331956690439655449477 4045008035
86 424695960714290656199526462808989867631360137754207710910053143719145323484/804004234784749835623050938825990679641915451901584223035995870071318966348431 -2819232571
87 0 0
88 -6673212773114735508603897538423639016049215864956355654175029327759826391717/268001411594916611874350312941996893213971817300528074345331956690439655449477 10418941576
89 14783610723109405072738583293873799684599884854130274649606004202201472803321/804004234784749835623050938825990679641915451901584223035995870071318966348431 -17160630626
90 -3826861396431534396890629736788599215205791424014140179431300990985744937082/268001411594916611874350312941996893213971817300528074345331956690439655449477 8948047613
91 -14893305978305392859538558204459503659992573487854454964260369100024589402686/804004234784749835623050938825990679641915451901584223035995870071318966348431 8335162206
92 16011618069728695620171136785826066180723871617455123171689442556307589778889/804004234784749835623050938825990679641915451901584223035995870071318966348431 13851079008
93 -21923247398107439575660191565810886778136655604095942930981695725603794824865/804004234784749835623050938825990679641915451901584223035995870071318966348431 -19857312881
94 -5039147738442687848071226372623387174280076936431512770579225053267831083637/89333803864972203958116770980665631071323939100176024781777318896813218483159 3677277443
95 777003866780673490713119653147650572526354650744279958827529401390879864461/804004234784749835623050938825990679641915451901584223035995870071318966348431 -12870477619
96 1150978984072176095841792792115886223843212942273947041818397555050063466160/268001411594916611874350312941996893213971817300528074345331956690439655449477 13851094200
97 0 0
98 -20094239570067910333434811572147161567585116249009711465633796110855499327693/268001411594916611874350312941996893213971817300528074345331956690439655449477 -1
99 9797738228711973176557297219010814980600150748719846451056549119583729242073/804004234784749835623050938825990679641915451901584223035995870071318966348431 -2941808972
100 3244713353544047631556335803409887173184643223989628002993027931332018221237/268001411594916611874350312941996893213971817300528074345331956690439655449477 -5148185592
101 5885453500307777387648370030900530741596454192337421791916266290309184215029/268001411594916611874350312941996893213971817300528074345331956690439655449477 -25005487504
102 642780288817378690905559592276840918562134208812159606743972508913695084000/804004234784749835623050938825990679641915451901584223035995870071318966348431 -3564
103 -13949763514781601054781647039292638520211934190221930637004286687064351597195/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
104 20061753000145467889598403280705185633875414166488868347262587774981591438015/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
105 0 0
106 -65444409624893949502150872047196149003097150662033619780639532354706484133030/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
107 -5926513624030374384921598828955416647113860704436455333300070935919510343761/268001411594916611874350312941996893213971817300528074345331956690439655449477 1
108 0 0
109 6139328689092693000186151569972788659096371535781230268441921227928790596198/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
110 654294865159960153810422515733461891226948644398376636603968045777755867527/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
