atoms 4096 subsets 128
status 0 value 0.7943925233644862
  w=0.084112 phi=0 codes=[[], [], ['0b1']]
  w=0.084112 phi=0 codes=[[], ['0b1'], []]
  w=0.037383 phi=0 codes=[[], ['0b1111'], ['0b1110']]
  w=0.084112 phi=1 codes=[['0b1'], [], []]
  w=0.037383 phi=1 codes=[['0b11'], ['0b1101'], ['0b1111']]
  w=0.009346 phi=1 codes=[['0b100'], ['0b111'], ['0b10']]
  w=0.009346 phi=1 codes=[['0b100'], ['0b1000'], ['0b1101']]
  w=0.028037 phi=1 codes=[['0b100'], ['0b1110'], ['0b1011']]
  w=0.037383 phi=1 codes=[['0b100'], ['0b1111'], ['0b1010']]
  w=0.037383 phi=1 codes=[['0b110'], ['0b1000'], ['0b1111']]
  w=0.009346 phi=1 codes=[['0b111'], ['0b10'], ['0b100']]
  w=0.028037 phi=1 codes=[['0b111'], ['0b1000'], ['0b1110']]
  w=0.018692 phi=1 codes=[['0b111'], ['0b1101'], ['0b1011']]
  w=0.037383 phi=1 codes=[['0b111'], ['0b1111'], ['0b1001']]
  w=0.009346 phi=1 codes=[['0b1000'], ['0b10'], ['0b1011']]
  w=0.037383 phi=1 codes=[['0b1000'], ['0b110'], ['0b1111']]
  w=0.028037 phi=1 codes=[['0b1000'], ['0b111'], ['0b1110']]
  w=0.009346 phi=1 codes=[['0b1000'], ['0b1101'], ['0b100']]
  w=0.037383 phi=1 codes=[['0b1010'], ['0b1111'], ['0b100']]
  w=0.056075 phi=1 codes=[['0b1011'], ['0b111'], ['0b1101']]
  w=0.009346 phi=1 codes=[['0b1011'], ['0b1000'], ['0b10']]
  w=0.028037 phi=1 codes=[['0b1011'], ['0b1110'], ['0b100']]
  w=0.037383 phi=1 codes=[['0b1110'], [], ['0b1111']]
  w=0.028037 phi=1 codes=[['0b1110'], ['0b10'], ['0b1101']]
  w=0.028037 phi=1 codes=[['0b1110'], ['0b1101'], ['0b10']]
  w=0.037383 phi=1 codes=[['0b1111'], ['0b10'], ['0b1100']]
  w=0.037383 phi=1 codes=[['0b1111'], ['0b101'], ['0b1011']]
  w=0.037383 phi=1 codes=[['0b1111'], ['0b1100'], ['0b10']]
  w=0.037383 phi=1 codes=[['0b1111'], ['0b1110'], []]
