310 124
153 60 1
153 59 -1
153 91 1
153 90 1
154 28 -1
154 29 1
154 61 1
154 60 -1
154 90 1
154 91 1
155 31 1
155 36 -1
155 37 1
155 64 1
155 62 1
155 67 1
156 32 1
156 34 -1
156 33 1
156 68 1
156 63 1
156 65 1
157 33 1
157 32 -1
157 36 1
157 65 1
157 68 1
157 63 1
158 34 1
158 33 -1
158 31 1
158 62 1
158 67 1
158 64 1
159 35 1
159 45 -1
159 39 1
159 70 1
159 66 1
159 76 1
160 36 1
160 37 -1
160 32 1
160 63 1
160 65 1
160 68 1
161 37 1
161 31 -1
161 34 1
161 67 1
161 64 1
161 62 1
162 38 1
162 49 -1
162 51 1
162 79 1
162 75 1
162 80 1
163 39 1
163 35 -1
163 45 1
163 76 1
163 70 1
163 66 1
164 40 1
164 41 -1
164 48 1
164 82 1
164 77 1
164 72 1
165 41 1
165 47 -1
165 44 1
165 69 1
165 81 1
165 78 1
166 42 1
166 48 -1
166 38 1
166 75 1
166 80 1
166 79 1
167 43 1
167 54 -1
167 57 1
167 88 1
167 84 1
167 85 1
168 44 1
168 50 -1
168 52 1
168 78 1
168 69 1
168 81 1
169 45 1
169 39 -1
169 35 1
169 66 1
169 76 1
169 70 1
170 46 1
170 42 -1
170 47 1
170 83 1
170 71 1
170 73 1
171 47 1
171 40 -1
171 49 1
171 73 1
171 83 1
171 71 1
172 48 1
172 46 -1
172 50 1
172 72 1
172 82 1
172 77 1
173 49 1
173 52 -1
173 46 1
173 71 1
173 73 1
173 83 1
174 50 1
174 51 -1
174 40 1
174 77 1
174 72 1
174 82 1
175 51 1
175 44 -1
175 42 1
175 80 1
175 79 1
175 75 1
176 52 1
176 38 -1
176 41 1
176 81 1
176 78 1
176 69 1
177 53 1
177 55 -1
177 58 1
177 89 1
177 74 1
177 86 1
178 54 1
178 58 -1
178 53 1
178 74 1
178 86 1
178 89 1
179 55 1
179 57 -1
179 43 1
179 84 1
179 85 1
179 88 1
180 56 1
180 56 -1
180 61 1
180 90 1
180 91 1
180 87 1
181 57 1
181 53 -1
181 55 1
181 85 1
181 88 1
181 84 1
182 58 1
182 43 -1
182 54 1
182 86 1
182 89 1
