coordinate qsharp lift
0 -2513553032007857599506297335818338262002495432624381776719573145997233856152713001266587916627865985543354140713/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
1 -3987236017680547874079391449758756707493817461675722024345091457231781806778639289773006142918662895817236133503/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
2 -587357932221564092061657068827391427550685925173236954444023008384941151978242558802622968566397300359645399623/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
3 -53189320771790131823396496290379306382475812063876645669480384102006182014561010912748683291722627840601832055/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
4 5553832610868898933303497890797964934918965584024242872896758878013745055451702545864994763215905603556158165151/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
5 4229483558600734971666848263636004390470178112776216332683759004070960715574888854423444071971315520465477012313/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
6 1437680182966594089503501441051916442430822486842513837596968125396146805959291126896836821675211920418556134415/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
7 -2895531558744516705196746899362770942103421554295016999444250039153405341268034870041366634607436505481326396758/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
8 -2946261067121703247540535075418357976251572242807817916104954844725694729167051324711377183054513301971319994880/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
9 -2220188098206705506765437294225235847255326947507315156010994175477726898608106589146025451366667944040913523247/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
10 -4125317322574351449940038027401043995278892370435631313453054139441071495597891862088056994345918902377578299271/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
11 -3348817548037083594373075480914361293344576798446887906182421789376649540337100338156106423433295433825965645279/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
12 1750950720694141408189252355938091671163548837581645444426399815715555177845894894242224310232583293498547279633/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
13 -5295013286074765400576672439124834544415529317086082002827252180659003495594511191946194415867225051090632076259/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
14 4279859530749564393690630626833129276044369453886894130312193922595123995239069441240811753346527762607361532365/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
15 -908206523551860266437336030337027373212024865307617993126921528262493540315293988970159480242087236393720760181/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
16 -9146984281302869808843836440537957730685574860003032098697032093940935099576871707048428134156155005533826723409/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
17 712896310751690331897561085647988341261926810882759918835705788885543620685567989467690955855827683645287289987/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
18 3433199380240062864295219723472635860545063836410115307207439780118007587224587508368483387888687227373916404291/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
19 15111174425504775283892648105943222915147543560867097919020414615161623168773694338716172260680269793183364379945/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
20 -4449858436639801298947576340412683717172869813578634512080226313968677639427351702732858209340213123433883302931/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
21 -1315339674002602249369385588080954920089444683724680259806489843341984660066325338230657102388897389190283743879/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
22 3587350210738520673995452972420563032552931436176259276341893738354349594410625621815028450980486176067668910199/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
23 -20367843679920296324632312617521388143869519990635922779649066215333604554698097937256020077009856313388221344125/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
24 3185218787402191097482680756354868470183567045514914789905589773750718110177915785034150443164606805355235796093/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
25 -4557991689688149424900505205872231997429552641639335691819677766675054227559728300978977109926660503574237606919/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
26 -1891691967971831983137064327647144104106442655423980293026077518048316001265023014704810220095544708102943051463/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
27 1649045406668296178009972141035138009969684593503513342179138172630782556691318322765083964600264436440807748386/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
28 -4381603484079170563757197214745925088449294907332913144683813906205702881568338302635459570721920398726534634658/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
29 -9078680119686236528507369560043693255156268976804812454166621296943726607896120496539071669431743666788742746087/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
30 1098697660499833230261226931578184015521176521996206954906149347425636853977603962570320077765299529199685828229/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
31 -4410979614130702453634128416322497276232489205658458820768595351137849426772068169777922486626585693008413508091/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
32 -4892046596748462426702418022819018926791272487136712561254356277141408932771700169329790767768951459883029460235/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
33 12827997073826301828867309334030127016540307251387179378667383992320709895777057794286578252364579822789991267367/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
34 -6852493859867232133684466342841523579231263716378465358375675997519694314903855807816022364188165890510031477633/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
35 6055414367230923764565044594411677127539328553907979361616485903274067045783970139357606870245882927462508288845/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
36 9657354174183958925905143834217864699361346430523652592910477805415329518916832959400856694709913855717663593680/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
37 12230942277299212892757709590963431433972922839375940402372882559289015359095155996508586070211985989216131835429/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
