coordinate qsharp lift
51 823762207493284253492886576449313664386675942569522567962333432540602989834728124/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
52 -231479083625806049723331033811899664465478976767447642267546520571229968915942014/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
53 147853111331835057145013563791468771898315086736999376765711793610799271050101072/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
54 174179845791387577814054027321183620023325834037357088354820800588738897423628407/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
55 7684999877203775668304878952413538425153614561622904772712302934723085607002986/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
56 -400582494768321888801830506411831608499075058056863494572731689791477088548195983/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
57 500536630346562469259925757552911793681720442426488024667932367598263582484538130/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
58 -371315939443716900226885780737259591588322633398524044508100286353718223176235419/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
59 381108465803748858883126240812332114651013989534015947886772351450237658665643528/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
60 547612176031424512319772285384315859547002826512386914988118161785250012613693111/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
61 -199742095323791888028366009033194790722652819569416381171429479294524841779372029/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
62 64280051331723812514496422316629006905115109950644722905344640566671045945156916/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
63 -171328711305472987670766073171239292552892338879334018760856979394958292107626296/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
64 768107531465332707134047228165221391013697105892213993902965025340174115804577/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
65 206143195666130925658676557406097321885417766765651108198775775395538542719805948/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
66 92640845415020554469663013376119797392731432443517582074342945138850937072542589/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
67 -166672163860517687583677541436203637601677551895517987407045569953766993017739181/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
68 36360901673541572810043340963164066354864558534221918820633454405239576644123395/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
69 39457234197112258341492315049564129185313229975356707308460215118615361797540831/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
70 204325713832669079477082568925606318575211239368907767098702863373370011874176743/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
71 491158550707625605473868662434613632375470861695432033035032455323523834386661038/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
72 73635624683208804338064932266343300709947540311879670768835362227299197545348176/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
73 365565332541623546363436192966216819648639143612511797923744037172646981106095571/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
74 200290279998144577577251049358359614397024952959992777962082456181703602620431004/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
75 218760033700317772877781693495867356808778554460847656199617175084342162636561536/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
76 192367342159897662269819384662191095504226048707887003397552806554632747697004164/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
77 -310357654399020316189536331427875145720510252664792618520903695179062314703164390/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
78 818960244158793962006419651391515670130195742989853209523469219035647778294654381/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
79 -277304506076793229540358936407166907926853243419112874938576952866288368951903928/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
80 -587031204749438059436846488838959149132656379477123761470834765759245973754523170/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
81 -299391925527005639581490616645574426481368368627720226858838772587403114395611126/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
82 118213142048488604968041576347022027580328938595792415448807165698884695651611/131826181247671269432793152518152195928049271388407880661657196795025925592569169 0
83 161897060946372285623115151413355823817497574611698656593299050560606506739572934/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
84 -652315239893315311204058621286075961088990030831870468007719129364852710597563818/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
85 318772284086726003214620938503106188149628539735103679311206079173457310537167749/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
86 70976204542823828329430462156438263537032601230407740205161177082676599925786755/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
87 -312116159289271036825604677213069514077122212607792090241527127397582685045582855/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
88 -674871730973380834623296245064763960816540087038430595144197941238883232586697567/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
89 287752220313502036841956037406960395590344982670448014030317672896839954181995102/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
90 -469602135939386748113333636366383693397229382324492128851661162421511949876761220/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
91 93017259863005778079486396847958253972612659545950188865205232843175266771103960/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
92 -381869341962822041555709704681419091987099002934169822917087857630636719260196258/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
93 199314338916631189463093302216889636020302547665638106687487168740538405930537028/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
94 50398849463011824272328372439161610337571675561230478211704175995113053014089442/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
95 543463922078739681714277532630897993966205155144911581173643852547033339867074540/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
96 164740852590576454875455408535994488962036327436071706340728480361776485377221145/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
97 440434427157845860961990163070593673920787378515878939545986412626409118249963146/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
98 -341862388052338997213170433686399368399246789030995523756592758238631642285677438/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
99 -99811211236745221577939291915691432887988078444300803189008412935282689712110137/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
100 -7773657531706544499152348588822278187341416957800776675159914146454963161696126/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
101 373112306302027999905164784723852055549415077832017032933904099807851937368292565/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
102 252344985381495953455236248285316849280258621879742680100233515364257165996874152/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
103 -198829839416273723015192750516671407367284082060518965747834487699747783600968739/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
104 501718212806547278930309997205776525683911124580457653025515720250242914741400047/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
105 44162990703006565860128400608087284386060887137954591692434489351641798643620789/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
106 351627698050945778960581198236519261631586647424046442824793837079298994098859523/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
107 -14751223914837461385192473205420400973290053224957157046643637348559094686123377/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
