coordinate qsharp_0 qsharp_1 lift_0 lift_1
0 22540437326857264177705076713415519788 -232935514242451261415058459963744059309530594586247209677441008807810542138691314977315894313341103593554416493118116306/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
1 144309970313250671322571874792772834251 -1491316102601844815696735761407453281514761997694925746972296964232383627164596554167035385466606785726442689103864080737/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -170140428269999008430944679032487403304770860597265965553387383245273 101814099455948352562870201815417516565131414353776463139009630226672
2 21698575121053622926255669878587102753 -224235611796614510350578134165616939881294737063315776607164294594926917113231373991912167269948125628348384129829183132/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
3 76760618461730405245982890143069080424 -793253204260023792077244964671177165207161967461913801243689770778697840917816993398343684837923514746595489091021219913/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
4 -117629380339055626666698109005333083382 1215595766930894090023360506929231135219104755532575998941198264731119106512821673694590759292881492463194704163134992692/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
5 -108345741110423310565548707182002182571 1119657553913783540096343110991184718956808337025767479658999113977787254279606264493812814343768792167918914261133565198/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 131589513268105031187022212782817100962570758685339196805929777622020 -78744763531320568349753057399076504163828777722875754737013539349002
6 -92397503879239591842994053710152844187 954846606067620173184450924750121137894006936650714143551636055105018931021464283649483151492663613694359534123938834782/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 126711001270976102138372329893213376574781294024557716190568024943782 -75825402679092681215140343160603409281243362458383736440640989899778
7 -525976948339933029077721852856797137727 5435507269207002775635018714093693000914808833328975085928602889146000016624995808133803635418413979900405936519463245103/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 29965174774308610803789717862129865326136345291037577890529134723313 -17931524657060565008527044680537120316538404676378407674553196729892
8 -736991718457049647510403777448263244196 7616158570564712850968905919512397431734550498020285565515860385077689857415305927976373667589875662333638548921675594951/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 11176679934875267141773128124061085269577067949388227348932988317782 -6688261067915433646307411076881122135837686790489168205864201606818
9 109855619736401699328335415511606539021 -1135260816134738799970624295946479893608751871778625466727750577746858997015895093209101542701784883980025889175829938796/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
