2520 1 360 360
1260 105 180 180
840 35 120 120
840 140 120 120
630 35 90 90
630 105 90 90
630 315 90 90
504 126 72 72
420 105 60 60
420 210 60 60
420 420 60 60
360 120 51 51
315 315 45 45
280 70 40 40
252 126 36 36
210 35 30 30
210 35 30 30
210 35 30 30
210 35 30 30
210 105 30 30
210 105 30 30
210 105 30 30
140 70 20 20
126 126 18 18
120 120 17 17
105 105 15 15
105 105 15 15
105 105 15 15
105 105 15 15
105 105 15 15
70 35 10 10
70 70 10 10
42 21 6 6
42 42 6 6
35 35 5 5
21 21 3 3
15 15 2 2
15 15 2 2
7 7 1 1
1 1 0 0
