20160 1 2880 2880
10080 105 1440 1440
10080 210 1440 1440
6720 56 960 960
6720 560 960 960
5040 70 720 720
5040 105 720 720
5040 105 720 720
5040 315 720 720
5040 420 720 720
5040 630 720 720
5040 630 720 720
5040 1260 720 720
4032 336 576 576
3360 560 480 480
3360 560 480 480
3360 840 480 480
3360 1680 480 480
3360 1680 480 480
2880 960 411 411
2520 15 360 360
2520 15 360 360
2520 105 360 360
2520 210 360 360
2520 210 360 360
2520 315 360 360
2520 315 360 360
2520 315 360 360
2520 315 360 360
2520 630 360 360
2520 630 360 360
2520 630 360 360
2520 630 360 360
2520 1260 360 360
2520 1260 360 360
2240 280 320 320
2016 336 288 288
1680 70 240 240
1680 280 240 240
1680 280 240 240
1680 280 240 240
1680 420 240 240
1680 420 240 240
1680 420 240 240
1680 840 240 240
1680 840 240 240
1680 1680 240 240
1344 336 192 192
1260 35 180 180
1260 315 180 180
1260 315 180 180
1260 315 180 180
1260 315 180 180
1260 315 180 180
1260 315 180 180
1260 630 180 180
1260 630 180 180
1260 630 180 180
1120 280 160 160
1120 560 160 160
1120 560 160 160
1008 1008 144 144
960 960 137 137
840 210 120 120
840 420 120 120
840 420 120 120
840 420 120 120
840 420 120 120
840 420 120 120
840 420 120 120
840 420 120 120
840 420 120 120
840 420 120 120
840 420 120 120
840 840 120 120
840 840 120 120
840 840 120 120
840 840 120 120
672 336 96 96
630 105 90 90
630 105 90 90
630 105 90 90
630 315 90 90
630 315 90 90
630 315 90 90
630 315 90 90
560 280 80 80
560 280 80 80
560 280 80 80
560 280 80 80
420 35 60 60
420 35 60 60
420 70 60 60
420 210 60 60
420 210 60 60
420 420 60 60
420 420 60 60
420 420 60 60
360 120 51 51
360 120 51 51
336 56 48 48
336 168 48 48
336 336 48 48
315 315 45 45
280 280 40 40
280 280 40 40
210 35 30 30
210 35 30 30
210 105 30 30
210 105 30 30
210 105 30 30
210 105 30 30
210 105 30 30
210 210 30 30
168 168 24 24
168 168 24 24
140 35 20 20
120 120 17 17
120 120 17 17
120 120 17 17
120 120 17 17
120 120 17 17
112 56 16 16
105 105 15 15
105 105 15 15
105 105 15 15
70 35 10 10
70 35 10 10
70 35 10 10
56 28 8 8
56 56 8 8
35 35 5 5
28 28 4 4
15 15 2 2
15 15 2 2
8 8 1 1
1 1 0 0
