w=YXXY i=2 j=2 phi={"a": "abbbabbcacababb", "b": "ca", "c": "babb"} psi={"a": "aCBBCaCBBCCaCBBCC", "b": "ccbbcA", "c": "bccbbcAccbbcAcbbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -5, -13, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=16
w=YXYY i=1 j=3 phi={"a": "abbbabbcababbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCBCaCCBCCaCCBCC", "b": "ccbccA", "c": "bccbccAccbccAcbccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -5, -15, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=18
w=YYXY i=1 j=3 phi={"a": "abbbabbbabbcababb", "b": "ca", "c": "babb"} psi={"a": "aCBCCaCBCCCaCBCCC", "b": "cccbcA", "c": "bcccbcAcccbcAccbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -5, -15, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=18
w=YYYY i=0 j=4 phi={"a": "abbbabbbabbbabbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCCCaCCCCCaCCCCC", "b": "cccccA", "c": "bcccccAcccccAccccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -5, -17, 1], "M^k>0 at k": 3, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=XXXXY i=4 j=1 phi={"a": "abbcacacacababb", "b": "ca", "c": "babb"} psi={"a": "aCBBBBaCBBBBCaCBBBBC", "b": "cbbbbcA", "c": "bcbbbbcAcbbbbcAbbbbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -12, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=16
w=XXXYY i=3 j=2 phi={"a": "abbcacacababbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCBBBaCCBBBCaCCBBBC", "b": "cbbbccA", "c": "bcbbbccAcbbbccAbbbccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -14, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=18
w=XXYXY i=3 j=2 phi={"a": "abbcacababbcababb", "b": "ca", "c": "babb"} psi={"a": "aCBCBBaCBCBBCaCBCBBC", "b": "cbbcbcA", "c": "bcbbcbcAcbbcbcAbbcbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -14, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=18
w=XXYYY i=2 j=3 phi={"a": "abbcacababbbabbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCCBBaCCCBBCaCCCBBC", "b": "cbbcccA", "c": "bcbbcccAcbbcccAbbcccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -16, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=XYXXY i=3 j=2 phi={"a": "abbcababbcacababb", "b": "ca", "c": "babb"} psi={"a": "aCBBCBaCBBCBCaCBBCBC", "b": "cbcbbcA", "c": "bcbcbbcAcbcbbcAbcbbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -14, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=18
w=XYXYY i=2 j=3 phi={"a": "abbcababbcababbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCBCBaCCBCBCaCCBCBC", "b": "cbcbccA", "c": "bcbcbccAcbcbccAbcbccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -16, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=XYYXY i=2 j=3 phi={"a": "abbcababbbabbcababb", "b": "ca", "c": "babb"} psi={"a": "aCBCCBaCBCCBCaCBCCBC", "b": "cbccbcA", "c": "bcbccbcAcbccbcAbccbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -16, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
