CANDIDATES AAttAATTAtAtaTT n=18 degrees=[3, 4, 5, 6, 8, 9, 10, 12, 15, 18, 25, 27]
DONE AAttAATTAtAtaTT | Z/3 r=2 k=3 b1=1 chars=1 monic=0 cert=False
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 22, 2, -24, 0, 0, 0, 0, 0, 0, 0, 8, 0, -1, 12, 3, 7, -14, 0, 0] delta=[-1, -1, 0, 2, 3, -2, -6, -5, 4, 4, 2, -4, -3, 7, -18, -1, 9, 7, 3, -32, 4, 19, 12, -16, -22, 19, 2, 12, -28, 12, 9, -7, -23, -24, 73, 12, -19, -51, -22, 91, -4, -17, -14, 12, 18, -9, -32, 44, 55, -37, -24, -41, 71, 58, -66, -29, -15, 45, 10, -33, -14, 19, 4, -22, 2, -16, 35, -4, -22, 8, -15, 23, -3, -10, 4, -2, 4, -2, 2, 0, -1, -5, 2, 2, -4, 3, -2, 0, 1, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 27, 5, -32, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 9, 4, 7, -14, 7, 0] delta=[-1, 0, 1, 0, 2, -1, -4, 1, 0, -2, 7, 0, -5, 1, -1, -11, 10, 6, -9, 7, 2, -15, -4, 27, -30, 13, 14, -18, -5, 26, -29, -14, 49, -31, -2, 33, -29, -27, 49, -24, -26, 55, -15, -41, 79, -50, -48, 73, -26, -23, 67, -11, -102, 110, -45, -35, 78, -4, -68, 62, 21, -125, 103, 5, -49, 64, 28, -138, 104, 0, -73, 66, 56, -109, 79, 15, -127, 100, -7, -46, 43, 67, -129, 65, 5, -53, 24, 38, -55, 37, 13, -51, 8, 30, -29, -5, 41, -51, 32, -16, 5, -10, 27, -35, 9, 17, -18, 3, 3, 1, 3, 1, -12, 3, 10, -7, -5, 8, 2, 1, -7, 3, -1, 3, -2, -1, 3, -1, 1, -2, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 32, 8, -40, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 6, 5, 7, -14, 14, 0] delta=[-1, 1, 0, -1, 0, 3, -2, -1, 2, 1, -4, 0, 4, -6, 2, 1, 2, -6, 4, 2, -3, 1, 0, 4, -12, 12, -9, 8, -10, 11, -10, -8, 15, -6, 12, -15, 15, -21, 24, -17, 15, -17, 3, 2, -26, 33, -17, 21, -30, 39, -33, 26, -20, 21, -16, -4, 16, -33, 36, -43, 37, -48, 74, -47, 30, -36, 44, -27, 2, 36, -47, 16, -70, 95, -68, 65, -48, 52, -58, 42, 0, -5, 38, -57, 38, -85, 116, -81, 40, -65, 77, -44, 40, -6, 5, -2, -18, 79, -100, 81, -92, 44, -58, 71, -27, 27, -29, 27, -7, -10, 81, -103, 52, -65, 64, -52, 29, -10, 0, -4, 22, -4, -17, 29, -39, 36, -33, 45, -46, 3, -3, -2, 19, -2, -10, 1, -2, 4, 16, -21, 22, -30, 14, -8, -6, 17, -9, 2, 7, -9, 6, 1, -8, 12, -15, 12, -6, -6, 13, -8, 5, 3, -7, 3, -1, 0, 3, -3, 3, -1, -2, 2, -1, 1, 1, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 3, -8, 5, 0, 0, 0, 0, 0, 0, 0, 10, 0, -3, 15, 2, 7, -7, -14, 0] delta=[-1, 1, -2, 0, 1, 0, -2, -1, -4, -5, -2, 8, -1, -14, 6, -16, -13, 19, 3, -16, 3, -11, -14, 31, -28, 27, -22, 0, 20, 16, -11, -7, -4, -23, 73, -14, 65, -91, 19, -14, 35, 26, 53, -58, -23, 11, -11, 62, -31, 12, -18, -2, 7, 24, -48, 23, -9, -5, 14, -3, -16, 1, -11, 6, 7, -12, -2, -5, 1, 1, 0, -4, 4, -5, -1, 3, -2, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 13, -2, -11, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 9, 4, 7, -7, 0, 0] delta=[-1, -1, -4, -3, -2, 0, 2, -1, -10, -12, -17, 1, -15, 10, -13, 2, 2, -12, 8, -46, 11, -24, 26, 48, 22, 28, -24, 13, -24, 6, 62, 11, 74, -7, 39, -29, -31, -8, -43, 19, -5, 21, 0, -7, -9, -25, 2, -17, -7, -4, 1, 0, -3, 0, -4, 0, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 18, 1, -19, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 6, 5, 7, -7, 7, 0] delta=[-1, 1, 0, -1, -2, 5, -6, 2, 0, 5, -17, 13, -4, 2, -13, 18, -18, -1, 4, 7, -12, 4, 0, -18, 8, 10, -7, -12, 14, -16, -10, 15, 2, -22, 34, 3, -30, -17, 51, -36, 16, 29, -13, -67, 56, 32, -33, 13, 33, -38, 13, 49, -27, -37, 66, 19, -29, 14, 0, -42, 26, 54, -61, 3, 10, -6, -20, 22, -14, -1, 4, 8, -20, -20, 18, 6, -8, 9, -8, -14, 9, 4, -10, 10, -3, -7, 1, 0, 0, 0, 2, -2, -2, 0, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 23, 4, -27, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 3, 6, 7, -7, 14, 0] delta=[-1, 1, -1, 1, 0, -1, 3, -3, 3, -4, -2, 3, -5, 8, -4, 3, -2, -1, 2, -10, 3, -4, 7, 5, 0, 2, -18, 9, -2, -6, 4, -5, 9, 5, 6, -11, -27, 18, -3, 7, -3, -9, 11, -2, 19, -12, -25, 0, -2, 37, -19, -11, 13, -5, 35, -22, -9, -49, 25, 54, -37, 23, -20, 13, 1, 13, 5, -74, 46, 18, 10, 28, -55, 5, 7, 43, -12, -44, 3, -16, 106, -16, -64, 3, 15, 33, -16, -21, -31, 7, 99, -47, -9, -25, -11, 33, -3, -1, -22, 1, 14, 9, 19, -49, -12, 23, 6, 10, -10, -25, -6, 36, 7, -24, -15, 6, 17, 2, -10, -8, -3, 15, 4, -7, -9, 2, 8, -2, 0, -1, -4, 3, 2, 0, -3, 1, 2, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -6, -12, 18, 0, 0, 0, 0, 0, 0, 0, 8, 0, -1, 12, 3, 7, 0, -14, 0] delta=[1, -1, 0, 1, -1, 0, 1, 1, 1, 1, -2, -1, 3, -2, -1, 7, 1, 5, -4, -1, 2, 0, 6, -9, 10, -1, 10, -9, 0, 15, 4, 4, -26, 12, -2, 9, -3, -19, 25, 27, -19, -28, 0, 34, -6, -46, -3, 22, 31, -25, -20, -10, 72, -16, -109, 23, 25, 31, -39, -22, 42, 28, -2, -89, 13, 34, 25, -59, -43, 81, -4, 13, -45, 15, 26, 2, -33, -28, 27, 18, -3, -10, 5, 21, -9, -3, -10, 6, 9, -1, -5, 3, 5, 11, -7, -1, -3, 4, 3, -1, 2, -3, 7, -4, 6, -6, 6, -3, 0, -2, 1, 1, 2, 0, 0, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -1, -9, 10, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 9, 4, 7, 0, -7, 0] delta=[1, -1, 0, 0, 2, 2, -1, 1, -1, 5, 0, 9, 2, 5, -6, 5, 18, 2, 19, -12, 16, -1, 2, 23, 0, 2, -2, 16, -28, 9, -18, 26, -15, -49, 12, -24, 9, -59, 28, -19, -32, 7, -58, 61, -63, 11, 20, -18, 10, -18, 18, 5, 12, -8, 18, 2, 2, 11, 2, 13, 4, 9, 2, 1, 4, -1, 5, -1, 3, 1, 0, 1, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -15, -16, 31, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 9, 4, 7, 7, -14, 0] delta=[1, -1, 0, 0, 1, -1, 1, 1, -1, -1, 0, 1, 3, -2, -3, 3, 2, -3, 4, 5, -2, -4, 2, -1, 5, 0, -14, 15, -1, -4, 5, 9, -3, 1, 11, -19, 9, 6, -31, 25, 13, -20, 2, 12, -8, 8, 30, -53, 27, 7, -35, 14, 44, -63, 12, 36, -46, 14, 44, -67, 9, 56, -51, 4, 47, -73, 6, 86, -100, 27, 32, -62, -33, 142, -100, 0, 48, -57, -2, 94, -82, -9, 52, -60, -34, 120, -97, -13, 83, -65, 12, 60, -43, -54, 97, -56, -11, 45, -51, -13, 68, -41, -2, 28, -28, -23, 73, -42, 3, 13, -16, -4, 23, -6, -16, 15, -8, -5, 25, -18, -2, 14, -7, 5, 8, -11, 1, 3, -6, 7, -2, 5, -4, 2, 2, 0, 3, -4, 1, 3, -5, 4, -4, 1, 2, 1, 2, -1, -2, -1, 1, 1, 1, 0, -1]
