DIFF	res	bh-free-25	research/fp-self-similar-groups-with-arbitrarily-hard-word-problem.md	09-18 10:11
DIFF	res	bh-free-26	research/khanh-ara-cortinas-hypotheses-hold-for-leavitt-tensor-hosts.md	09-18 11:11
DIFF	res	bh-free-26	research/prime-field-leavitt-tensor-hosts-fp-and-simple-mod-centre.md	09-18 11:03
DIFF	res	bh-free-26	research/fp-simple-groups-with-arbitrarily-complex-word-problem.md	09-18 10:54
DIFF	res	bh-free-28	research/free-centre-by-metabelian-groups-are-linear.md	09-18 10:13
DIFF	res	bh-free-28	research/free-centre-by-metabelian-linearity-via-gamma-seven-quotient.md	09-18 10:13
DIFF	res	bh-free-29	research/rigid-sfts-give-fp-v-boolean-power-crossed-products.md	09-18 11:23
DIFF	res	bh-free-29	research/v-times-sft-full-groups-glue-from-two-wreath-pieces.md	09-18 11:23
DIFF	res	bh-free-34	research/kourovka-7-19-explicit-fp-simple-group-with-non-pr-word-problem.md	09-18 10:01
DIFF	res	bh-free-35	research/sfts-without-two-sided-faults-are-quantum-rigid.md	09-18 16:07
DIFF	res	bh-free-35	research/baumslag-gersten-group-satisfies-boone-higman.md	09-18 09:50
DIFF	res	bh-free-35	research/minimal-crossing-wire-fixed-point-shift-is-quantum-rigid.md	09-18 17:15
DIFF	res	bh-free-36	research/virtually-torsion-free-cubulated-groups-satisfy-boone-higman.md	09-18 10:53
DIFF	res	bh-free-36	research/cat0-groups-satisfy-boone-higman.md	09-18 09:41
DIFF	res	bh-free-37	research/ct-p1-and-ct-p2-always-generate-ct-p1-union-p2.md	09-18 11:01
DIFF	res	bh-free-37	research/decidable-fp-groups-have-effective-minimal-free-subshifts.md	09-18 11:32
DIFF	res	bh-free-41	research/some-a2-action-has-a-nonrecursive-kernel.md	09-18 10:07
DIFF	res	bh-free-42	research/fp-simple-group-of-finite-cohomological-dimension-above-two.md	09-18 11:09
DIFF	res	bh-free-44	research/hyperbolic-groups-quasi-isometrically-embed-in-fp-simple-groups.md	09-18 11:11
DIFF	res	bh-free-45	research/hyperbolic-groups-quasi-isometrically-embed-in-fp-simple-groups.md	09-18 10:27
DIFF	res	bh-free-49	research/bs12-base-generator-is-a-centralizer-in-b-a.md	09-18 10:58
DIFF	res	bh-free-49	research/baumslag-gersten-group-satisfies-boone-higman.md	09-18 11:01
DIFF	res	bh-free-51	research/automatic-groups-embed-in-corner-germ-extensions.md	09-18 11:01
DIFF	res	bh-free-52	research/non-elementary-hyperbolic-groups-are-contracting-rsgs.md	09-18 10:07
DIFF	res	bh-free-54	research/edge-split-operad-has-common-refinements.md	09-18 15:53
DIFF	res	bh-free-54	research/rational-projective-full-groups-are-finitely-presented.md	09-18 10:55
DIFF	res	bh-free-54	research/edge-splits-resolve-every-rational-plane.md	09-18 11:44
DIFF	res	bh-free-54	research/edge-split-ore-iff-synchronization-and-tree-domination.md	09-18 15:47
NEW	res	bh-free-54	research/rank-three-edge-split-spine-closes-at-twelve-pieces.md	09-18 16:58
NEW	res	bh-free-57	research/elliptic-primes-collapse-so-ct-z-torsion-reduces-to-parabolic-dynamics.md	09-18 17:28
NEW	res	bh-free-58	research/ct-empty-z-subgroups-satisfy-the-orbit-transversal-dichotomy.md	09-18 17:29
DIFF	res	bh-free-58	research/ct-z-finite-cycle-problems-are-undecidable.md	09-18 11:08
DIFF	res	bh-free-58	research/ct-z-conjugacy-problem-is-undecidable.md	09-18 11:32
DIFF	res	bh-free-58	research/ct-z-north-south-element-has-no-finite-cycles.md	09-18 10:09
DIFF	res	bh-free-60	research/artifacts/gq-bh-openq-lists.md	09-18 11:35
DIFF	res	bh-free-60	research/fg-soluble-minimax-groups-satisfy-boone-higman.md	09-18 16:45
DIFF	res	bh-free-60	research/free-product-emitter-full-groups-need-isolated-vertex-groups.md	09-18 16:06
NEW	res	bh-free-60	research/twisted-prufer-corners-embed-in-isolated-cornulier-hosts.md	09-18 17:31
DIFF	res	bh-free-61	research/unimodular-cells-synchronize-under-edge-splits-proof.md	09-18 16:25
DIFF	res	bh-free-61	research/half-tube-lattice-points-are-edge-split-vertices.md	09-18 16:24
DIFF	res	bh-free-61	research/unimodular-cells-synchronize-under-edge-splits.md	09-18 16:26
DIFF	res	bh-free-extensions	research/rsv-quaternionic-doubles-are-never-virtually-simple.md	09-18 09:45
DIFF	res	bh-g1-bss	research/plane-local-freedom-kills-rigidity-of-plane-lifts.md	09-18 17:04
