out_pairs_r3.txt ('abbbbb', 'AbAAA') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 4 boundaries | AbAAA@0 rank1=True brute-bad=0; abbbbb@0 rank1=True brute-bad=0; Baaaa@6 rank1=True brute-bad=0; BBBBAB@4 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('aBAb', 'BBBaa') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | BBBaa@0 rank1=True brute-bad=0; bbbAA@5 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('bbAbbbb', 'aBAbabAB') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | baBABabA@0 rank1=True brute-bad=0; BAbabABa@6 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('bbabA', 'bbaaaa') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | bbaaaa@0 rank1=True brute-bad=0; BBAAAA@3 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('BaBBA', 'BABBAAb') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | aabba@7 rank1=True brute-bad=0; AABBA@6 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('Babaaba', 'BBaaaBA') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | ABAABAb@0 rank1=True brute-bad=0; abaabaB@6 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('aaBBBBA', 'AbbabbA') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | aBBABBaabbbbABBABBa@0 rank1=True brute-bad=0; bbAbb@3 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('baBaaaBa', 'aaBAbAA') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | baBaaaBaaaBabAA@0 rank1=True brute-bad=0; BAbAAAbAAAbABaa@9 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('abAb', 'AbaBAB') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | BaBAbabABa@0 rank1=True brute-bad=0; bAbaBABabA@3 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('abbbbaBa', 'aBaBA') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | AbABBBAbA@0 rank1=True brute-bad=0; aBabbbaBa@0 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('BaBAAb', 'aBaBBB') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 4 boundaries | aBaBBB@0 rank1=True brute-bad=0; AB@1 rank1=True brute-bad=0; bbAbAb@8 rank1=True brute-bad=0; ab@2 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('ABBB', 'BAbabb') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 4 boundaries | BBBAbabbAB@2 rank1=True brute-bad=0; abbb@1 rank1=True brute-bad=0; BBABabbbba@0 rank1=True brute-bad=0; BBBA@1 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('baaBBa', 'abbAb') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | aaBBaabbAbb@1 rank1=True brute-bad=0; AAbbAABBaBB@6 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('BBBBBaBA', 'BBaa') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | AABBBaBAAAbb@0 rank1=True brute-bad=0; aabAbbbaaBBa@8 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('BAABaaa', 'AbAA') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 4 boundaries | aabAAAbAABAAB@4 rank1=True brute-bad=0; BaaaBAA@3 rank1=True brute-bad=0; baabaaBaaaBAA@4 rank1=True brute-bad=0; aabAAAb@3 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('AAAbbb', 'AAAbba') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 4 boundaries | AbbA@1 rank1=True brute-bad=0; Ba@0 rank1=True brute-bad=0; BaaaBB@3 rank1=True brute-bad=0; bbAA@2 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
verified 38 / 38
