# run_id	reserved_at_utc	lean_path	declaration_anchor
32879888351	2026-08-25T17:49:44Z	GroupApproximation/Sofic/AvatarWordFamily.lean	mem_wordSubgroup
32882919286	2026-08-25T18:18:23Z	GroupApproximation/Sofic/AvatarWordFamily.lean	pad_hom_padList
32888814735	2026-08-25T19:19:03Z	GroupApproximation/Sofic/AvatarWordFamily.lean	codeHigh_inj
32893064258	2026-08-25T20:03:32Z	GroupApproximation/Analysis/KOmegaHilbertSpaceEndpoint.lean	manuscriptKOmegaIsHilbertSpace
32897398730	2026-08-25T20:48:14Z	GroupApproximation/Sofic/AvatarWordFamily.lean	mk_partnerTieWord
32902675669	2026-08-25T21:45:56Z	GroupApproximation/Sofic/BareDefectSource.lean	core_defectNormal_eq
32904220317	2026-08-25T22:03:33Z	GroupApproximation/Sofic/BareDefectSource.lean	nonempty_bareRoutingData
32907773612	2026-08-25T22:47:34Z	GroupApproximation/Sofic/BassSerreHullGeometry.lean	graph_dist_smul
32909672642	2026-08-25T23:12:30Z	GroupApproximation/Sofic/BassSerreHullGeometry.lean	isAcylindrical
32911791308	2026-08-25T23:40:50Z	GroupApproximation/Sofic/BespokeRouterGateAssembly.lean	metricSmallCancellation_mono
32913268136	2026-08-26T00:01:18Z	GroupApproximation/Sofic/BlockAmplificationRepair.lean	norm_blockListMap_sub_one_ge_of_mem
32921056665	2026-08-26T02:00:32Z	GroupApproximation/Sofic/BlockCliffordIndex.lean	sign_sq
32926019471	2026-08-26T03:20:08Z	GroupApproximation/Sofic/BlockCliffordLamp.lean	sset_one
32930125237	2026-08-26T04:25:24Z	GroupApproximation/Sofic/BlockCliffordLamp.lean	blockPerm_property
32933469603	2026-08-26T05:19:40Z	GroupApproximation/Sofic/BlockCliffordTowerSofic.lean	finite_range_of_factors
32937613099	2026-08-26T06:19:38Z	GroupApproximation/Sofic/BlockInfix.lean	infix_of_forall_ne_left
32943334226	2026-08-26T07:46:27Z	GroupApproximation/Sofic/BlockingFamilyRadical.lean	exists_mem_actualCoronaMFResidual
